FeatureCode,DateCode,Measurement,Units,Value,DCLG Dwelling Stock Tenure
E07000195,2013,Numbers of Dwellings,,10,Local-Authority (incl. owned by other LAs)
E07000195,2014,Numbers of Dwellings,,0,Other Public Sector
E07000195,2012,Numbers of Dwellings,,10,Local-Authority (incl. owned by other LAs)
E07000195,2012,Numbers of Dwellings,,9790,Private Registered Provider
E07000195,2015,Numbers of Dwellings,,55670,All tenure types
E07000195,2016,Numbers of Dwellings,,45400,Private Sector
E07000195,2011,Numbers of Dwellings,,0,Other Public Sector
E07000195,2012,Numbers of Dwellings,,44730,Private Sector
E07000195,2012,Numbers of Dwellings,,0,Other Public Sector
E07000195,2016,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000195,2010,Numbers of Dwellings,,44130,Private Sector
E07000195,2016,Numbers of Dwellings,,55800,All tenure types
E07000195,2014,Numbers of Dwellings,,10,Local-Authority (incl. owned by other LAs)
E07000195,2015,Numbers of Dwellings,,9900,Private Registered Provider
E07000195,2011,Numbers of Dwellings,,54220,All tenure types
E07000195,2014,Numbers of Dwellings,,45200,Private Sector
E07000195,2010,Numbers of Dwellings,,9883,Private Registered Provider
E07000195,2015,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000195,2012,Numbers of Dwellings,,54530,All tenure types
E07000195,2010,Numbers of Dwellings,,12,Local-Authority (incl. owned by other LAs)
E07000195,2011,Numbers of Dwellings,,9859,Private Registered Provider
E07000195,2015,Numbers of Dwellings,,45760,Private Sector
E07000195,2011,Numbers of Dwellings,,44350,Private Sector
E07000195,2015,Numbers of Dwellings,,0,Other Public Sector
E07000195,2013,Numbers of Dwellings,,9800,Private Registered Provider
E07000195,2016,Numbers of Dwellings,,10400,Private Registered Provider
E07000195,2013,Numbers of Dwellings,,0,Other Public Sector
E07000195,2011,Numbers of Dwellings,,7,Local-Authority (incl. owned by other LAs)
E07000195,2016,Numbers of Dwellings,,0,Other Public Sector
E07000195,2010,Numbers of Dwellings,,54030,All tenure types
E06000049,2013,Numbers of Dwellings,,5730,Other Public Sector
E06000049,2016,Numbers of Dwellings,,70,Other Public Sector
E06000049,2011,Numbers of Dwellings,,147540,Private Sector
E06000049,2012,Numbers of Dwellings,,147470,Private Sector
E06000049,2014,Numbers of Dwellings,,20,Other Public Sector
E06000049,2010,Numbers of Dwellings,,165400,All tenure types
E06000049,2013,Numbers of Dwellings,,142300,Private Sector
E06000049,2014,Numbers of Dwellings,,19390,Private Registered Provider
E06000049,2011,Numbers of Dwellings,,18459,Private Registered Provider
E06000049,2011,Numbers of Dwellings,,166240,All tenure types
E06000049,2013,Numbers of Dwellings,,19320,Private Registered Provider
E06000049,2015,Numbers of Dwellings,,10,Other Public Sector
E06000049,2016,Numbers of Dwellings,,171170,All tenure types
E06000049,2014,Numbers of Dwellings,,168360,All tenure types
E06000049,2010,Numbers of Dwellings,,18776,Private Registered Provider
E06000049,2016,Numbers of Dwellings,,30,Local-Authority (incl. owned by other LAs)
E06000049,2015,Numbers of Dwellings,,19780,Private Registered Provider
E06000049,2010,Numbers of Dwellings,,23,Local-Authority (incl. owned by other LAs)
E06000049,2015,Numbers of Dwellings,,30,Local-Authority (incl. owned by other LAs)
E06000049,2016,Numbers of Dwellings,,151140,Private Sector
E06000049,2013,Numbers of Dwellings,,167530,All tenure types
E06000049,2010,Numbers of Dwellings,,115,Other Public Sector
E06000049,2012,Numbers of Dwellings,,166880,All tenure types
E06000049,2011,Numbers of Dwellings,,150,Other Public Sector
E06000049,2013,Numbers of Dwellings,,180,Local-Authority (incl. owned by other LAs)
E06000049,2011,Numbers of Dwellings,,86,Local-Authority (incl. owned by other LAs)
E06000049,2016,Numbers of Dwellings,,19930,Private Registered Provider
E06000049,2014,Numbers of Dwellings,,148850,Private Sector
E06000049,2010,Numbers of Dwellings,,146490,Private Sector
E06000049,2012,Numbers of Dwellings,,150,Other Public Sector
E06000049,2014,Numbers of Dwellings,,100,Local-Authority (incl. owned by other LAs)
E06000049,2012,Numbers of Dwellings,,19190,Private Registered Provider
E06000049,2012,Numbers of Dwellings,,80,Local-Authority (incl. owned by other LAs)
E06000049,2015,Numbers of Dwellings,,149780,Private Sector
E06000049,2015,Numbers of Dwellings,,169600,All tenure types
E09000021,2012,Numbers of Dwellings,,65420,All tenure types
E09000021,2010,Numbers of Dwellings,,0,Other Public Sector
E09000021,2014,Numbers of Dwellings,,58640,Private Sector
E09000021,2012,Numbers of Dwellings,,2360,Private Registered Provider
E09000021,2013,Numbers of Dwellings,,58350,Private Sector
E09000021,2011,Numbers of Dwellings,,2443,Private Registered Provider
E09000021,2015,Numbers of Dwellings,,0,Other Public Sector
E09000021,2012,Numbers of Dwellings,,4840,Local-Authority (incl. owned by other LAs)
E09000021,2010,Numbers of Dwellings,,4846,Local-Authority (incl. owned by other LAs)
E09000021,2016,Numbers of Dwellings,,4790,Local-Authority (incl. owned by other LAs)
E09000021,2016,Numbers of Dwellings,,66650,All tenure types
E09000021,2015,Numbers of Dwellings,,4790,Local-Authority (incl. owned by other LAs)
E09000021,2013,Numbers of Dwellings,,0,Other Public Sector
E09000021,2016,Numbers of Dwellings,,59230,Private Sector
E09000021,2015,Numbers of Dwellings,,66410,All tenure types
E09000021,2011,Numbers of Dwellings,,0,Other Public Sector
E09000021,2014,Numbers of Dwellings,,65890,All tenure types
E09000021,2015,Numbers of Dwellings,,2610,Private Registered Provider
E09000021,2011,Numbers of Dwellings,,57910,Private Sector
E09000021,2014,Numbers of Dwellings,,2460,Private Registered Provider
E09000021,2011,Numbers of Dwellings,,65200,All tenure types
E09000021,2016,Numbers of Dwellings,,2630,Private Registered Provider
E09000021,2012,Numbers of Dwellings,,58220,Private Sector
E09000021,2012,Numbers of Dwellings,,0,Other Public Sector
E09000021,2013,Numbers of Dwellings,,4840,Local-Authority (incl. owned by other LAs)
E09000021,2010,Numbers of Dwellings,,57890,Private Sector
E09000021,2010,Numbers of Dwellings,,2353,Private Registered Provider
