
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 30 March 2023]"
"Gender     :","Total"
"Age        :","Aged 10-14"

"local authority: county / unitary (as of April 2021)","mnemonic","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Swansea","W06000011",13120,13195,13146,12862,12714,12712,12634,12803,12927,13201,13270,13489,13710
"Neath Port Talbot","W06000012",8329,8101,7935,7724,7480,7386,7477,7521,7620,7909,8096,8153,8404
"Bridgend","W06000013",8425,8326,8327,8025,7901,7806,7817,7822,7954,8114,8181,8244,8737
"Vale of Glamorgan","W06000014",8142,8048,7826,7612,7381,7227,7142,7234,7479,7821,8082,8306,8335
"Cardiff","W06000015",19071,18853,18403,18051,17787,17691,17843,18406,19134,19918,20650,21351,21562
"Rhondda Cynon Taff","W06000016",14288,14069,13785,13253,13025,12772,12923,13180,13494,13810,14317,14537,14543
"Merthyr Tydfil","W06000024",3574,3526,3452,3274,3289,3197,3112,3197,3308,3426,3561,3643,3574
"Caerphilly","W06000018",11315,11087,10933,10497,10407,10386,10282,10368,10571,10759,10898,11198,10797
"Blaenau Gwent","W06000019",4253,4173,4025,3821,3641,3563,3477,3548,3654,3772,3862,3967,3799
"Torfaen","W06000020",5925,5753,5597,5300,5072,4891,4926,5066,5163,5370,5587,5664,5644
"Monmouthshire","W06000021",5819,5700,5626,5332,5260,5169,5102,5023,5152,5246,5305,5335,5145
"Newport","W06000022",9575,9478,9321,9106,8730,8640,8645,8725,8919,9307,9599,9809,10290
"Aberdeen City","S12000033",9750,9523,9342,9184,9028,8919,8953,9092,9390,9824,10281,10668,11029
"Aberdeenshire","S12000034",15687,15410,15075,14763,14600,14454,14384,14648,14969,15372,15847,16388,16781
"Angus","S12000041",6915,6830,6796,6514,6335,6304,6241,6149,6160,6257,6276,6278,6310
"Argyll and Bute","S12000035",5268,5075,4858,4639,4418,4293,4267,4256,4250,4337,4379,4361,4373
"Clackmannanshire","S12000005",3144,3100,3007,2898,2839,2787,2741,2725,2736,2875,2891,2898,2953
"Dumfries and Galloway","S12000006",8798,8416,8149,7794,7481,7397,7439,7528,7726,7859,7966,7993,8098
"Dundee City","S12000042",7592,7566,7341,7003,6774,6744,6816,6863,6984,7157,7380,7406,7645
"East Ayrshire","S12000008",7201,7035,6927,6718,6481,6451,6398,6421,6463,6578,6634,6689,6882
"East Dunbartonshire","S12000045",6748,6617,6389,6300,6058,5961,5974,6043,6047,6173,6291,6383,6605
"East Lothian","S12000010",6128,6004,5885,5718,5574,5638,5600,5728,5892,6273,6446,6535,6687
"East Renfrewshire","S12000011",6221,6148,6127,6057,5907,5925,5939,6010,6206,6476,6590,6758,7039
"City of Edinburgh","S12000036",21446,21340,20920,20676,20437,20201,20387,21036,21664,22777,24002,24736,25803
"Na h-Eileanan Siar","S12000013",1606,1615,1534,1458,1445,1416,1402,1409,1481,1494,1481,1464,1434
"Falkirk","S12000014",9034,8854,8729,8503,8397,8351,8454,8584,8847,9026,9307,9432,9559
"Fife","S12000047",20904,20426,20121,19544,19223,18962,19155,19349,19826,20356,20882,21285,21695
"Glasgow City","S12000049",29808,29524,29201,28026,27240,26780,26615,26651,27321,28128,29039,29453,30535
"Highland","S12000017",13808,13579,13403,13063,12842,12591,12671,12712,12801,13025,13253,13161,13221
"Inverclyde","S12000018",4755,4664,4453,4204,4111,4021,4039,4022,4111,4183,4169,4191,4246
"Midlothian","S12000019",5074,5037,5076,4946,4870,4845,4815,4855,4984,5142,5252,5423,5554
"Moray","S12000020",5863,5743,5581,5373,5212,5112,5102,5116,5208,5357,5527,5590,5695
"North Ayrshire","S12000021",8459,8164,7969,7650,7451,7279,7274,7288,7478,7520,7675,7617,7633
"North Lanarkshire","S12000050",20978,20770,20423,19826,19551,19381,19534,19703,20082,20444,20707,20752,20923
"Orkney Islands","S12000023",1321,1253,1169,1106,1095,1054,1082,1126,1159,1202,1249,1234,1251
"Perth and Kinross","S12000048",8655,8683,8667,8427,8112,7984,7913,7708,7832,7954,8152,8124,8419
"Renfrewshire","S12000038",9990,9942,9884,9472,9218,9134,9126,9150,9296,9585,9677,9675,9772
"Scottish Borders","S12000026",6641,6539,6363,6170,6018,6007,5961,6011,6079,6213,6249,6229,6323
"Shetland Islands","S12000027",1488,1487,1432,1394,1358,1332,1277,1330,1358,1343,1381,1420,1415
"South Ayrshire","S12000028",6385,6288,6172,5959,5707,5600,5600,5583,5665,5750,5862,5890,6021
