LA_order,New_geog_code,geog_l,geog_c,geog_n,OC2_12mths,OC2_10to17,OC2_convicted,OC2_convicted_pc,OC2_submisuse,OC2_subint,OC2_suboffint,OC2_submisuse_pc,OC2_subint_pc,OC2_suboffint_pc,OC2_immunisation,OC2_teethcheck,OC2_healthassmt,OC2_immunisation_pc,OC2_teethcheck_pc,OC2_healthassmt_pc,OC2_4andunder,OC2_devassmt,oc2_devassmt_pc,OC2_5to16,OC2_SDQ,OC2_SDQ_pc,OC2_SDQnormal,OC2_SDQborderline,OC2_SDQconcern,OC2_SDQnormal_pc,OC2_SDQborderline_pc,OC2_SDQconcern_pc,OC2_SDQaverage
30,E08000006,LA,355,Salford,431,267,16,6,25,10,15,6,40,60,425,357,380,99,83,88,68,68,100,317,208,66,106,31,71,51,15,34,13.6
33,E08000007,LA,356,Stockport,256,164,12,7,40,16,19,16,40,48,234,224,240,91,88,94,32,32,100,191,186,97,97,19,70,52,10,38,14
34,E08000008,LA,357,Tameside,470,305,11,4,c,0,0,c,0,0,450,439,434,96,93,92,59,38,64,367,337,92,194,38,105,58,11,31,13.1
35,E08000009,LA,358,Trafford,289,200,9,5,0,0,0,0,c,.,245,226,277,85,78,96,36,34,94,221,100,45,65,13,22,65,13,22,11.2
37,E08000010,LA,359,Wigan,363,257,c,c,15,12,c,4,80,c,339,339,361,93,93,99,38,38,100,289,277,96,143,34,100,52,12,36,13.9
40,E08000016,LA,370,Barnsley,210,134,9,7,7,c,c,3,c,c,201,209,201,96,100,96,27,27,100,163,129,79,53,22,54,41,17,42,14.9
43,E08000017,LA,371,Doncaster,388,284,10,4,28,10,17,7,36,61,381,331,357,98,85,92,48,48,100,297,276,93,111,31,134,40,11,49,15.5
51,E08000018,LA,372,Rotherham,440,293,9,3,23,c,12,5,c,52,413,388,366,94,88,83,55,55,100,334,301,90,133,32,136,44,11,45,14.8
52,E08000019,LA,373,Sheffield,438,321,14,4,16,11,c,4,69,c,376,376,422,86,86,96,38,38,100,337,142,42,62,11,69,44,8,49,15.5
41,E08000032,LA,380,Bradford,765,474,27,6,c,0,0,c,0,0,739,725,709,97,95,93,134,134,100,551,328,60,171,51,106,52,16,32,13.2
42,E08000033,LA,381,Calderdale,240,163,c,c,c,0,c,c,0,c,212,210,229,88,88,95,35,33,94,181,123,68,45,17,61,37,14,50,16
46,E08000034,LA,382,Kirklees,505,323,10,3,7,c,c,1,c,c,490,482,492,97,95,97,76,76,100,385,291,76,165,38,88,57,13,30,12.9
47,E08000035,LA,383,Leeds,996,656,9,1,11,6,c,1,55,c,828,913,942,83,92,95,140,128,91,750,560,75,250,77,233,45,14,42,15.1
53,E08000036,LA,384,Wakefield,396,244,c,c,c,c,0,c,c,0,198,304,373,50,77,94,69,60,87,281,209,74,92,25,92,44,12,44,15
5,E08000037,LA,390,Gateshead,277,197,6,3,21,9,11,8,43,52,264,266,269,95,96,97,22,22,100,228,189,83,68,30,91,36,16,48,15.9
8,E08000021,LA,391,Newcastle upon Tyne,399,263,12,5,6,c,c,2,c,c,359,302,381,90,76,95,61,61,100,290,204,70,90,29,85,44,14,42,15
9,E08000022,LA,392,North Tyneside,199,141,7,5,22,22,0,11,100,0,172,157,179,86,79,90,18,16,89,154,80,52,43,9,28,54,11,35,13.8
12,E08000023,LA,393,South Tyneside,214,152,0,0,8,c,c,4,c,c,214,206,214,100,96,100,22,22,100,164,157,96,73,24,60,46,15,38,14.1
14,E08000024,LA,394,Sunderland,373,259,16,6,18,9,9,5,50,50,354,361,364,95,97,98,47,6,13,281,224,80,111,35,78,50,16,35,13.3
156,E06000053,LA,420,Isles of Scilly,0,0,0,.,0,0,0,.,.,.,0,0,0,.,.,.,0,0,.,0,0,.,0,0,0,.,.,.,.
149,E06000022,LA,800,Bath and North East Somerset,116,87,c,c,c,c,0,c,c,0,104,87,114,90,75,98,10,7,c,84,78,93,33,8,37,42,10,47,15.7
151,E06000023,LA,801,"Bristol, City of",474,354,12,3,c,0,0,c,0,0,451,427,433,95,90,91,31,c,c,366,315,86,151,50,114,48,16,36,14.3
157,E06000024,LA,802,North Somerset,170,117,6,5,6,c,c,4,c,c,152,124,157,89,73,92,23,23,100,123,58,47,28,8,22,48,14,38,14.1
161,E06000025,LA,803,South Gloucestershire,117,98,c,c,c,0,c,c,0,c,112,85,107,96,73,91,7,7,c,92,52,57,24,11,17,46,21,33,13.7
6,E06000001,LA,805,Hartlepool,203,130,6,5,7,c,c,3,c,c,192,187,192,95,92,95,27,26,96,160,159,99,88,16,55,55,10,35,13.1
7,E06000002,LA,806,Middlesbrough,357,216,9,4,0,0,0,0,.,.,318,311,337,89,87,94,60,53,88,262,186,71,113,17,56,61,9,30,12.5
11,E06000003,LA,807,Redcar and Cleveland,197,128,14,11,23,12,11,12,52,48,182,169,186,92,86,94,22,22,100,160,116,73,65,9,42,56,8,36,14
13,E06000004,LA,808,Stockton-on-Tees,384,234,10,4,17,11,6,4,65,35,348,268,359,91,70,93,72,72,100,284,203,71,96,32,75,47,16,37,13.7
45,E06000010,LA,810,"Kingston Upon Hull, City of",584,338,15,4,13,8,c,2,62,c,465,523,555,80,90,95,102,98,96,432,270,63,173,23,74,64,9,27,9.3
44,E06000011,LA,811,East Riding of Yorkshire,234,154,7,5,c,c,c,c,c,c,207,210,226,88,90,97,34,34,100,173,148,86,73,11,64,49,7,43,14.2
48,E06000012,LA,812,North East Lincolnshire,287,168,6,4,16,c,8,6,c,50,285,272,287,99,95,100,55,55,100,210,181,86,72,29,80,40,16,44,15.3
49,E06000013,LA,813,North Lincolnshire,162,120,c,c,c,c,0,c,c,0,149,147,162,92,91,100,9,9,c,137,137,100,54,13,70,39,9,51,16
50,E10000023,LA,815,North Yorkshire,323,225,7,3,0,0,0,0,.,.,281,301,285,87,93,88,41,41,100,238,225,95,106,27,92,47,12,41,14
54,E06000014,LA,816,York,149,106,6,6,c,c,0,c,c,0,141,108,112,95,72,75,18,18,100,114,99,87,46,20,33,46,20,33,14
86,E06000032,LA,821,Luton,268,209,7,3,12,c,8,4,c,67,206,225,230,77,84,86,22,17,77,208,169,81,25,25,119,15,15,70,20.1
81,E06000055,LA,822,Bedford Borough,164,132,c,c,c,c,c,c,c,c,151,161,157,92,98,96,11,11,100,133,131,98,61,18,52,47,14,40,14.7
82,E06000056,LA,823,Central Bedfordshire,235,168,c,c,12,6,6,5,50,50,201,224,219,86,95,93,17,17,100,182,182,100,107,26,49,59,14,27,12.1
131,E10000002,LA,825,Buckinghamshire,354,270,8,3,6,0,c,2,c,c,322,266,327,91,75,92,33,30,91,270,212,79,105,39,68,50,18,32,13
137,E06000042,LA,826,Milton Keynes,263,175,c,c,6,0,c,2,c,c,243,228,258,92,87,98,25,23,92,215,207,96,103,34,70,50,16,34,14.3
57,E10000007,LA,830,Derbyshire,509,334,c,c,10,c,c,2,c,c,489,440,485,96,86,95,69,61,88,375,314,84,116,47,151,37,15,48,16.2
56,E06000015,LA,831,Derby,360,239,13,5,6,c,c,2,c,c,334,329,346,93,91,96,37,34,92,289,268,93,115,47,106,43,18,40,14.8
154,E10000009,LA,835,Dorset,308,220,13,6,8,c,c,3,c,c,261,267,287,85,87,93,22,0,0,239,177,74,55,15,107,31,8,60,18.4
159,E06000029,LA,836,Poole,122,105,9,9,11,11,0,9,100,0,103,119,119,84,98,98,c,c,c,95,59,62,21,17,21,36,29,36,15
150,E06000028,LA,837,Bournemouth,174,131,c,c,47,20,27,27,43,57,144,164,150,83,94,86,21,19,90,121,63,52,25,10,28,40,16,44,16.2
4,E06000047,LA,840,Durham,587,362,17,5,11,11,0,2,100,0,583,502,546,99,86,93,101,96,95,430,264,61,115,57,92,44,22,35,14.1
3,E06000005,LA,841,Darlington,165,103,c,c,c,c,c,c,c,c,162,155,151,98,94,92,20,11,55,129,71,55,33,13,25,46,18,35,13.1
132,E10000011,LA,845,East Sussex,452,304,6,2,19,11,8,4,58,42,430,427,367,95,94,81,56,56,100,343,261,76,122,33,106,47,13,41,14.4
130,E06000043,LA,846,Brighton and Hove,265,210,c,c,22,8,14,8,36,64,251,237,230,95,89,87,15,15,100,208,148,71,66,16,66,45,11,45,15.1
133,E10000014,LA,850,Hampshire,1187,814,39,5,0,0,0,0,.,.,710,945,744,60,80,63,111,98,88,905,626,69,305,80,241,49,13,38,14.3
139,E06000044,LA,851,Portsmouth,315,238,25,11,16,7,9,5,44,56,285,268,283,90,85,90,37,37,100,217,180,83,83,25,72,46,14,40,15.2
142,E06000045,LA,852,Southampton,365,243,c,c,14,c,12,4,c,86,295,295,337,81,81,92,30,29,97,300,175,58,85,23,67,49,13,38,13.9
59,E10000018,LA,855,Leicestershire,415,262,10,4,18,9,6,4,50,33,342,381,341,82,92,82,67,46,69,306,275,90,135,34,106,49,12,39,14.4
58,E06000016,LA,856,Leicester,492,302,16,5,21,18,c,4,86,c,458,454,452,93,92,92,79,76,96,365,177,48,103,22,52,58,12,29,12
64,E06000017,LA,857,Rutland,23,16,0,0,0,0,0,0,.,.,16,22,20,70,96,87,c,0,0,19,16,84,c,c,9,c,c,56,16.7
73,E10000028,LA,860,Staffordshire,824,575,12,2,12,c,9,1,c,75,734,744,697,89,90,85,92,91,99,628,482,77,216,56,210,45,12,44,15
74,E06000021,LA,861,Stoke-on-Trent,622,329,8,2,c,c,c,c,c,c,380,593,497,61,95,80,120,119,99,461,433,94,113,74,246,26,17,57,18.5
164,E06000054,LA,865,Wiltshire,329,264,c,c,14,7,7,4,50,50,301,300,245,91,91,74,23,23,100,256,206,80,85,22,99,41,11,48,15.8
162,E06000030,LA,866,Swindon,252,159,11,7,c,0,c,c,0,c,226,214,229,90,85,91,37,0,0,176,152,86,70,22,60,46,14,39,15.2
129,E06000036,LA,867,Bracknell Forest,105,85,c,c,12,c,7,11,c,58,82,97,100,78,92,95,6,6,c,81,70,86,c,c,39,c,c,56,16.5
146,E06000040,LA,868,Windsor and Maidenhead,71,60,c,c,7,c,c,10,c,c,56,67,66,79,94,93,c,c,c,55,22,40,11,c,10,50,c,c,14.3
144,E06000037,LA,869,West Berkshire,109,87,c,c,c,c,c,c,c,c,106,93,104,97,85,95,c,c,c,84,75,89,23,12,40,31,16,53,17
140,E06000038,LA,870,Reading,201,136,c,c,0,0,0,0,.,.,185,190,192,92,95,96,21,21,100,159,143,90,66,23,54,46,16,38,14.6
141,E06000039,LA,871,Slough,120,92,c,c,10,c,c,8,c,c,91,100,115,76,83,96,11,11,100,88,88,100,39,13,36,44,15,41,14.2
147,E06000041,LA,872,Wokingham,65,51,0,0,c,0,c,c,0,c,65,62,64,100,95,98,7,7,c,42,39,93,18,11,10,46,28,26,13.5
83,E10000003,LA,873,Cambridgeshire,511,369,11,3,33,19,12,6,58,36,359,280,413,70,55,81,48,34,71,384,360,94,169,42,149,47,12,41,14.7
88,E06000031,LA,874,Peterborough,247,196,c,c,c,0,0,c,0,0,238,233,237,96,94,96,10,10,c,198,152,77,79,16,57,52,11,38,14.5
23,E06000006,LA,876,Halton,219,120,c,c,20,18,c,9,90,c,207,214,217,95,98,99,35,35,100,163,152,93,86,23,43,57,15,28,12.6
36,E06000007,LA,877,Warrington,308,215,7,3,12,7,c,4,58,c,269,287,285,87,93,93,33,30,91,238,237,100,144,25,68,61,11,29,11.7
153,E10000008,LA,878,Devon,510,386,17,4,63,24,34,12,38,54,416,430,449,82,84,88,41,41,100,382,308,81,100,45,163,32,15,53,16.6
158,E06000026,LA,879,Plymouth,293,200,0,0,6,c,c,2,c,c,277,210,243,95,72,83,21,14,67,227,170,75,56,20,94,33,12,55,17.5
163,E06000027,LA,880,Torbay,256,184,c,c,0,0,0,0,.,.,209,158,233,82,62,91,32,32,100,198,113,57,56,14,43,50,12,38,13.9
84,E10000012,LA,881,Essex,708,578,14,2,22,0,14,3,0,64,551,574,651,78,81,92,38,33,87,541,438,81,199,65,174,45,15,40,14.6
89,E06000033,LA,882,Southend-on-Sea,207,157,c,c,20,12,c,10,60,c,165,168,162,80,81,78,12,10,83,165,134,81,66,19,49,49,14,37,13.9
91,E06000034,LA,883,Thurrock,205,166,c,c,0,0,0,0,.,.,174,175,195,85,85,95,16,12,75,156,156,100,77,21,58,49,13,37,14.1
69,E06000019,LA,884,Herefordshire,254,163,c,c,c,0,c,c,0,c,233,205,241,92,81,95,25,24,96,213,149,70,70,24,55,47,16,37,14.5
79,E10000034,LA,885,Worcestershire,624,415,19,5,34,8,22,5,24,65,401,402,528,64,64,85,81,78,96,464,315,68,140,38,137,44,12,43,15.1
135,E10000016,LA,886,Kent,1113,943,25,3,70,37,24,6,53,34,997,1045,1065,90,94,96,28,27,96,868,653,75,287,96,270,44,15,41,14.8
136,E06000035,LA,887,Medway,291,209,6,3,15,10,c,5,67,c,242,276,250,83,95,86,27,0,0,230,212,92,82,28,102,39,13,48,16.4
25,E10000017,LA,888,Lancashire,1472,922,c,c,c,0,0,c,0,0,1319,892,1126,90,61,76,211,c,c,1110,683,62,345,73,265,51,11,39,14.2
16,E06000008,LA,889,Blackburn with Darwen,256,166,c,c,0,0,0,0,.,c,231,172,221,90,67,86,42,39,93,188,124,66,66,8,50,53,6,40,13.7
17,E06000009,LA,890,Blackpool,408,270,10,4,25,15,10,6,60,40,388,361,352,95,88,86,54,51,94,318,248,78,103,40,105,42,16,42,15.1
63,E10000024,LA,891,Nottinghamshire,592,446,0,0,27,6,21,5,22,78,589,460,581,99,78,98,46,46,100,473,366,77,169,37,160,46,10,44,15.2
62,E06000018,LA,892,Nottingham,445,331,9,3,18,12,c,4,67,c,428,414,418,96,93,94,38,38,100,340,267,79,108,32,127,40,12,48,15.5
71,E06000051,LA,893,Shropshire,267,173,0,0,0,0,0,0,.,.,245,189,225,92,71,84,37,37,100,195,18,9,c,c,8,c,c,c,14.7
75,E06000020,LA,894,Telford and Wrekin,297,184,c,c,c,0,c,c,0,c,292,288,251,98,97,85,50,38,76,225,192,85,84,29,79,44,15,41,14.8
