LA_order,New_geog_code,geog_l,geog_c,geog_n,Miss_Miss_DuringYear,Miss_Miss_DuringYear_pc,Miss_Miss_Incs,Miss_Miss_Incs_av,Miss_Miss_MoreOnce,Miss_Miss_31Mar,Miss_Away_DuringYear,Miss_Away_DuringYear_pc,Miss_Away_Incs,Miss_Away_Incs_av,Miss_Away_MoreOnce,Miss_Away_31Mar
120,E09000017,LA,312,Hillingdon,74,14,424,5.7,43,c,54,11,276,5.1,32,c
121,E09000018,LA,313,Hounslow,40,10,135,3.4,24,c,41,11,124,3,22,0
122,E09000021,LA,314,Kingston upon Thames,32,17,247,7.7,25,c,17,9,67,3.9,11,0
123,E09000024,LA,315,Merton,20,9,80,4,11,c,10,4,16,1.6,c,c
103,E09000025,LA,316,Newham,77,12,351,4.6,50,c,43,7,93,2.2,21,c
124,E09000026,LA,317,Redbridge,53,15,434,8.2,36,c,8,2,8,1,0,0
125,E09000027,LA,318,Richmond upon Thames,24,14,406,16.9,19,c,14,8,28,2,6,0
126,E09000029,LA,319,Sutton,44,13,212,4.8,30,c,33,10,260,7.9,21,0
127,E09000031,LA,320,Waltham Forest,82,19,704,8.6,60,c,0,.,0,.,0,0
66,E08000025,LA,330,Birmingham,179,7,741,4.1,98,14,7,-,7,1,0,0
67,E08000026,LA,331,Coventry,120,13,848,7.1,79,6,42,4,65,1.5,14,0
68,E08000027,LA,332,Dudley,74,9,484,6.5,49,c,27,3,46,1.7,12,0
70,E08000028,LA,333,Sandwell,85,8,450,5.3,54,c,0,.,0,.,0,0
72,E08000029,LA,334,Solihull,35,6,178,5.1,19,c,22,4,41,1.9,10,0
76,E08000030,LA,335,Walsall,54,7,489,9.1,36,0,54,7,188,3.5,31,0
78,E08000031,LA,336,Wolverhampton,36,5,206,5.7,25,c,0,.,0,.,0,0
24,E08000011,LA,340,Knowsley,46,12,402,8.7,27,c,c,c,c,c,0,0
26,E08000012,LA,341,Liverpool,156,9,1060,6.8,103,10,114,7,540,4.7,73,c
32,E08000013,LA,342,St. Helens,70,12,657,9.4,51,c,54,10,243,4.5,39,c
31,E08000014,LA,343,Sefton,69,11,472,6.8,50,c,32,5,60,1.9,14,0
38,E08000015,LA,344,Wirral,132,13,830,6.3,90,0,69,7,171,2.5,37,0
18,E08000001,LA,350,Bolton,73,9,675,9.2,49,0,6,1,8,1.3,c,0
19,E08000002,LA,351,Bury,62,14,400,6.5,45,c,30,7,174,5.8,21,0
27,E08000003,LA,352,Manchester,166,9,981,5.9,102,0,12,1,17,1.4,c,0
28,E08000004,LA,353,Oldham,94,13,714,7.6,69,0,38,5,126,3.3,20,0
29,E08000005,LA,354,Rochdale,70,10,408,5.8,43,0,c,-,c,c,0,0
30,E08000006,LA,355,Salford,69,9,443,6.4,45,c,0,0,0,0,0,0
33,E08000007,LA,356,Stockport,72,14,837,11.6,51,0,0,.,0,.,0,0
34,E08000008,LA,357,Tameside,129,15,814,6.3,98,c,11,1,16,1.5,c,0
35,E08000009,LA,358,Trafford,79,15,518,6.6,52,0,c,c,c,c,0,0
37,E08000010,LA,359,Wigan,72,11,542,7.5,46,c,38,6,115,3,22,0
40,E08000016,LA,370,Barnsley,32,8,272,8.5,23,0,16,4,49,3.1,11,0
43,E08000017,LA,371,Doncaster,100,13,642,6.4,67,0,c,-,c,c,0,0
51,E08000018,LA,372,Rotherham,100,11,646,6.5,68,c,c,-,c,c,0,0
52,E08000019,LA,373,Sheffield,118,13,1133,9.6,81,c,49,6,181,3.7,29,0
41,E08000032,LA,380,Bradford,165,11,1066,6.5,106,8,72,5,164,2.3,32,0
42,E08000033,LA,381,Calderdale,43,11,210,4.9,28,c,c,c,11,2.2,c,0
46,E08000034,LA,382,Kirklees,94,11,808,8.6,64,0,39,5,107,2.7,22,0
47,E08000035,LA,383,Leeds,176,11,771,4.4,105,c,31,2,42,1.4,8,0
53,E08000036,LA,384,Wakefield,54,7,176,3.3,32,0,c,-,c,c,c,0
