,Year,Variables,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,
SOA,All usual residents,,National identity: British,National identity: Irish,National identity: Northern Irish,National identity: English,National identity: Scottish,National identity: Welsh,National identity: Other,National identity: British (%),National identity: Irish (%),National identity: Northern Irish (%),National identity: English (%),National identity: Scottish (%),National identity: Welsh (%),National identity: Other (%)
Tullyhappy,"3,366",,"1,224","1,388",915,20,4,0,37,36.36,41.24,27.18,0.59,0.12,0.00,1.10
Twinbrook 1,"1,261",,211,799,296,3,4,0,14,16.73,63.36,23.47,0.24,0.32,0.00,1.11
Twinbrook 2,"1,386",,150,857,433,5,3,1,13,10.82,61.83,31.24,0.36,0.22,0.07,0.94
University,"2,873",,"1,750",412,909,35,20,3,150,60.91,14.34,31.64,1.22,0.70,0.10,5.22
Upper Braniel,"2,248",,"1,746",138,655,11,5,2,64,77.67,6.14,29.14,0.49,0.22,0.09,2.85
Upper Glenshane,"2,458",,406,"1,463",657,7,5,0,23,16.52,59.52,26.73,0.28,0.20,0.00,0.94
Upper Malone 1,"1,670",,840,538,493,14,8,3,52,50.30,32.22,29.52,0.84,0.48,0.18,3.11
Upper Malone 2,"1,554",,"1,154",141,408,18,13,1,45,74.26,9.07,26.25,1.16,0.84,0.06,2.90
Upper Malone 3,"1,617",,939,359,465,7,9,2,88,58.07,22.20,28.76,0.43,0.56,0.12,5.44
Upper Springfield 1,"1,712",,231,"1,180",351,6,4,0,13,13.49,68.93,20.50,0.35,0.23,0.00,0.76
Upper Springfield 2,"1,874",,224,"1,236",453,6,2,0,12,11.95,65.96,24.17,0.32,0.11,0.00,0.64
Upper Springfield 3,"1,664",,171,"1,095",410,6,2,0,21,10.28,65.81,24.64,0.36,0.12,0.00,1.26
Upperlands,"2,498",,"1,444",587,639,11,6,1,14,57.81,23.50,25.58,0.44,0.24,0.04,0.56
Valley,"2,691",,754,"1,166",919,19,5,2,57,28.02,43.33,34.15,0.71,0.19,0.07,2.12
Valley 1,"1,568",,633,477,534,11,7,0,42,40.37,30.42,34.06,0.70,0.45,0.00,2.68
Valley 2,"1,926",,"1,035",373,640,19,15,0,60,53.74,19.37,33.23,0.99,0.78,0.00,3.12
Victoria (Carrickfergus LGD),"2,630",,"2,087",133,731,35,17,5,42,79.35,5.06,27.79,1.33,0.65,0.19,1.60
Victoria (Derry LGD),"3,410",,834,"1,791",762,39,17,4,164,24.46,52.52,22.35,1.14,0.50,0.12,4.81
Victoria Bridge,"2,288",,979,689,740,15,13,4,12,42.79,30.11,32.34,0.66,0.57,0.17,0.52
Wallace Park 1,"1,095",,710,128,212,188,52,11,34,64.84,11.69,19.36,17.17,4.75,1.00,3.11
Wallace Park 2,"2,283",,"1,583",325,704,96,23,7,49,69.34,14.24,30.84,4.20,1.01,0.31,2.15
Waringstown 1,"2,583",,"1,917",168,791,39,23,3,51,74.22,6.50,30.62,1.51,0.89,0.12,1.97
Waringstown 2,"1,953",,"1,479",140,665,23,10,4,24,75.73,7.17,34.05,1.18,0.51,0.20,1.23
Washing Bay,"3,106",,216,"1,979",991,13,5,2,50,6.95,63.72,31.91,0.42,0.16,0.06,1.61
Water Works 1,"2,314",,384,"1,244",687,17,11,0,128,16.59,53.76,29.69,0.73,0.48,0.00,5.53
Water Works 2,"1,717",,289,"1,000",427,16,2,1,90,16.83,58.24,24.87,0.93,0.12,0.06,5.24
Water Works 3,"1,798",,294,976,537,17,17,0,76,16.35,54.28,29.87,0.95,0.95,0.00,4.23
Waterside,"2,794",,"1,794",343,937,53,21,3,113,64.21,12.28,33.54,1.90,0.75,0.11,4.04
West 1,"1,911",,233,"1,053",678,12,11,0,39,12.19,55.10,35.48,0.63,0.58,0.00,2.04
West 2,"1,351",,131,770,493,6,4,1,6,9.70,56.99,36.49,0.44,0.30,0.07,0.44
Westland,"2,083",,126,"1,510",451,13,11,0,38,6.05,72.49,21.65,0.62,0.53,0.00,1.82
Whitehead,"2,159",,"1,466",190,753,22,21,8,55,67.90,8.80,34.88,1.02,0.97,0.37,2.55
Whitehill,"2,469",,"1,737",144,856,32,18,4,48,70.35,5.83,34.67,1.30,0.73,0.16,1.94
Whitehouse,"2,071",,"1,611",87,592,16,8,2,30,77.79,4.20,28.59,0.77,0.39,0.10,1.45
Whiterock 1,"1,615",,191,"1,092",353,8,3,0,31,11.83,67.62,21.86,0.50,0.19,0.00,1.92
Whiterock 2,"2,411",,231,"1,657",550,22,8,0,10,9.58,68.73,22.81,0.91,0.33,0.00,0.41
Whiterock 3,"1,668",,192,"1,177",350,7,4,1,10,11.51,70.56,20.98,0.42,0.24,0.06,0.60
Whitespots 1,"1,540",,"1,109",119,473,14,12,1,41,72.01,7.73,30.71,0.91,0.78,0.06,2.66
Whitespots 2,"1,485",,"1,159",92,520,8,3,2,27,78.05,6.20,35.02,0.54,0.20,0.13,1.82
Windsor 1,"1,662",,595,656,459,42,19,1,138,35.80,39.47,27.62,2.53,1.14,0.06,8.30
Windsor 2,"2,270",,713,802,742,54,16,5,384,31.41,35.33,32.69,2.38,0.70,0.22,16.92
Windsor 3,"2,142",,795,558,738,71,10,3,421,37.11,26.05,34.45,3.31,0.47,0.14,19.65
Windsor 4,"2,067",,868,544,679,37,10,6,275,41.99,26.32,32.85,1.79,0.48,0.29,13.30
Windsor Hill 1,"1,614",,242,877,436,9,7,1,166,14.99,54.34,27.01,0.56,0.43,0.06,10.29
Windsor Hill 2,"1,389",,468,444,437,15,7,5,110,33.69,31.97,31.46,1.08,0.50,0.36,7.92
Woodburn,"2,479",,"1,996",114,684,23,14,1,35,80.52,4.60,27.59,0.93,0.56,0.04,1.41
Woodstock 1,"1,499",,900,167,395,12,8,2,199,60.04,11.14,26.35,0.80,0.53,0.13,13.28
Woodstock 2,"2,061",,"1,276",181,518,17,15,2,296,61.91,8.78,25.13,0.82,0.73,0.10,14.36
Woodstock 3,"1,885",,"1,084",266,516,18,10,0,231,57.51,14.11,27.37,0.95,0.53,0.00,12.25
Woodvale 1,"1,353",,"1,081",81,293,17,6,1,22,79.90,5.99,21.66,1.26,0.44,0.07,1.63
Woodvale 2,"1,399",,"1,146",61,295,9,6,0,28,81.92,4.36,21.09,0.64,0.43,0.00,2.00
Woodvale 3,"1,336",,"1,111",48,316,13,7,0,18,83.16,3.59,23.65,0.97,0.52,0.00,1.35
Woodville 1,"1,519",,228,699,489,15,10,0,159,15.01,46.02,32.19,0.99,0.66,0.00,10.47
Woodville 2,"2,179",,266,"1,364",623,11,2,1,48,12.21,62.60,28.59,0.50,0.09,0.05,2.20
Wynchurch,"2,190",,"1,035",631,750,12,10,2,82,47.26,28.81,34.25,0.55,0.46,0.09,3.74
