time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,CPP_start,CPP_start_rate,CPP_child_start,CPP_child_start_rate,CPP_end,CPP_end_rate,CPP_child_end,CPP_child_end_rate,CPP_anypoint,CPP_anypoint_rate,CPP_child_anypoint,CPP_child_anypoint_rate,CPP_At31,CPP_At31_rate
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Child Protection Plans,939,79.8,938,79.7,782,66.4,777,66,1504,127.7,1486,126.2,722,61.3
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Child Protection Plans,742,100.5,742,100.5,710,96.1,708,95.9,1251,169.4,1242,168.2,541,73.3
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Child Protection Plans,334,91.2,334,91.2,249,68,249,68,487,133,480,131.1,238,65
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Child Protection Plans,431,72,430,71.8,475,79.3,475,79.3,856,143,849,141.8,381,63.6
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Child Protection Plans,1143,74.1,1139,73.8,1108,71.8,1098,71.2,2072,134.3,2042,132.4,964,62.5
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Child Protection Plans,491,58.4,491,58.4,524,62.3,524,62.3,840,99.9,838,99.7,316,37.6
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Child Protection Plans,720,50.8,714,50.3,604,42.6,600,42.3,1108,78.1,1083,76.3,504,35.5
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Child Protection Plans,506,34.6,506,34.6,465,31.8,465,31.8,819,55.9,818,55.9,354,24.2
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Child Protection Plans,1088,63.4,1088,63.4,908,52.9,908,52.9,1748,101.8,1715,99.9,840,48.9
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Child Protection Plans,725,105,725,105,626,90.6,625,90.5,1235,178.8,1207,174.7,609,88.2
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Child Protection Plans,1031,61.5,1031,61.5,1070,63.9,1069,63.8,1869,111.6,1861,111.1,799,47.7
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Child Protection Plans,40,50.9,39,49.7,41,52.2,41,52.2,62,78.9,61,77.7,21,26.7
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Child Protection Plans,1481,51.5,1481,51.5,1506,52.4,1504,52.3,2782,96.8,2744,95.5,1276,44.4
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Child Protection Plans,515,64.6,512,64.2,468,58.7,458,57.4,868,108.8,834,104.6,400,50.1
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Child Protection Plans,424,61,422,60.7,483,69.5,478,68.7,835,120.1,821,118.1,352,50.6
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Child Protection Plans,212,58.8,212,58.8,215,59.6,215,59.6,323,89.6,315,87.4,108,30
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Child Protection Plans,732,88.8,732,88.8,650,78.8,649,78.7,1312,159.1,1306,158.4,662,80.3
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Child Protection Plans,316,52.7,316,52.7,372,62,372,62,642,107,623,103.8,270,45
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Child Protection Plans,178,37.4,176,37,227,47.7,227,47.7,381,80.1,378,79.5,154,32.4
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Child Protection Plans,894,52.5,891,52.4,1037,60.9,1031,60.6,1673,98.3,1651,97,636,37.4
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Child Protection Plans,746,128.8,746,128.8,565,97.6,558,96.4,1058,182.7,1043,180.1,493,85.1
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Child Protection Plans,307,74.7,307,74.7,315,76.6,315,76.6,554,134.7,543,132.1,239,58.1
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Child Protection Plans,441,63.9,440,63.8,535,77.6,530,76.8,775,112.4,767,111.2,240,34.8
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Child Protection Plans,425,36.1,423,35.9,473,40.2,471,40,768,65.2,750,63.7,295,25.1
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Child Protection Plans,345,55.4,345,55.4,406,65.2,405,65,670,107.6,664,106.6,264,42.4
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Child Protection Plans,757,63.7,756,63.6,644,54.2,641,53.9,1167,98.2,1148,96.6,523,44
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Child Protection Plans,197,48.4,197,48.4,102,25.1,102,25.1,255,62.7,254,62.4,153,37.6
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Child Protection Plans,564,41.3,562,41.2,773,56.7,772,56.6,1094,80.2,1082,79.3,321,23.5
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Child Protection Plans,166,26.1,163,25.6,199,31.3,199,31.3,354,55.6,351,55.1,155,24.3
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Child Protection Plans,748,23.8,748,23.8,739,23.5,739,23.5,1328,42.3,1325,42.2,589,18.7
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Child Protection Plans,629,23.1,626,23,725,26.6,719,26.4,1180,43.3,1170,42.9,455,16.7
