time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Referrals,Individual,Schools,Education_Services,Health_Services,Housing,LA_Services,Police,Other_legal_agency,Other,Anonymous,Unknown
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Source of referral,6381,367,1614,c,696,c,400,1975,115,1142,0,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Source of referral,1882,238,494,c,259,10,254,477,50,68,19,c
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Source of referral,3061,244,588,69,532,78,276,613,127,76,42,416
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Source of referral,7211,807,634,430,1045,69,1424,1766,323,326,379,8
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Source of referral,5956,488,58,1149,601,55,557,1813,174,748,313,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Source of referral,2068,147,502,35,225,c,391,586,53,59,44,c
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Source of referral,4367,275,943,c,590,58,543,1261,227,231,200,c
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Source of referral,5046,413,1148,78,747,90,490,1265,226,147,141,301
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Source of referral,3327,173,508,56,465,55,728,770,203,119,131,119
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Source of referral,5394,412,828,121,765,54,442,1896,291,194,232,159
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,Source of referral,1748,93,303,51,286,14,63,491,97,313,37,0
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Source of referral,4754,361,792,159,742,45,663,1238,213,194,93,254
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Source of referral,1776,171,380,15,243,6,362,440,70,38,51,0
