time_period,time_identifier,geographic_level,country_code,country_name,CLA_group,characteristic,Number,Percent
2020,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2850,5
2020,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,5700,11
2020,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,2860,5
2020,Reporting year,National,E92000001,England,Foster placements,Total,52240,100
2020,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,2320,42
2020,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,800,14
2020,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,240,4
2020,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,490,9
2020,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,1700,31
2020,Reporting year,National,E92000001,England,Living independently,Total,5550,100
2020,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,1290,65
2020,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,350,18
2020,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,40,2
2020,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,230,12
2020,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,60,3
2020,Reporting year,National,E92000001,England,Other,Total,1980,100
2020,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,740,21
2020,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,870,25
2020,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,300,9
2020,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1190,35
2020,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,360,10
2020,Reporting year,National,E92000001,England,Placed for adoption,Total,3450,100
2020,Reporting year,National,E92000001,England,Placed with parents,1.i 20 miles or less inside LA boundary,5400,81
2020,Reporting year,National,E92000001,England,Placed with parents,1.ii 20 miles or less outside LA boundary,720,11
2020,Reporting year,National,E92000001,England,Placed with parents,2.i Over 20 miles inside LA boundary,90,1
2020,Reporting year,National,E92000001,England,Placed with parents,2.ii Over 20 miles outside LA boundary,450,7
2020,Reporting year,National,E92000001,England,Placed with parents,Distance not Known or not recorded,30,~
2020,Reporting year,National,E92000001,England,Placed with parents,Total,6690,100
2020,Reporting year,National,E92000001,England,Residential placements,1.i 20 miles or less inside LA boundary,1070,27
2020,Reporting year,National,E92000001,England,Residential placements,1.ii 20 miles or less outside LA boundary,1010,26
2020,Reporting year,National,E92000001,England,Residential placements,2.i Over 20 miles inside LA boundary,90,2
2020,Reporting year,National,E92000001,England,Residential placements,2.ii Over 20 miles outside LA boundary,1710,44
2020,Reporting year,National,E92000001,England,Residential placements,Distance not Known or not recorded,60,1
2020,Reporting year,National,E92000001,England,Residential placements,Total,3930,100
2020,Reporting year,National,E92000001,England,Residential schools,1.i 20 miles or less inside LA boundary,20,18
2020,Reporting year,National,E92000001,England,Residential schools,1.ii 20 miles or less outside LA boundary,10,13
2020,Reporting year,National,E92000001,England,Residential schools,2.i Over 20 miles inside LA boundary,10,14
2020,Reporting year,National,E92000001,England,Residential schools,2.ii Over 20 miles outside LA boundary,50,54
2020,Reporting year,National,E92000001,England,Residential schools,Distance not Known or not recorded,0,0
2020,Reporting year,National,E92000001,England,Residential schools,Total,80,100
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.i 20 miles or less inside LA boundary,4600,31
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.ii 20 miles or less outside LA boundary,2830,19
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.i Over 20 miles inside LA boundary,550,4
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.ii Over 20 miles outside LA boundary,4100,28
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Distance not Known or not recorded,2780,19
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Total,14860,100
2021,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,24710,55
2021,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,10530,23
2021,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2420,5
2021,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,5670,13
2021,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,1840,4
2021,Reporting year,National,E92000001,England,Foster placements,Total,45170,100
2021,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,1710,42
2021,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,660,16
2021,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,240,6
2021,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,370,9
2021,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,1050,26
2021,Reporting year,National,E92000001,England,Living independently,Total,4020,100
2021,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,1610,72
2021,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,330,15
2021,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,40,2
2021,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,220,10
2021,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,40,2
2021,Reporting year,National,E92000001,England,Other,Total,2240,100
2021,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,570,19
2021,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,800,26
2021,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,240,8
2021,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1150,38
2021,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,280,9
2021,Reporting year,National,E92000001,England,Placed for adoption,Total,3030,100
2021,Reporting year,National,E92000001,England,Placed with parents,1.i 20 miles or less inside LA boundary,5520,80
2021,Reporting year,National,E92000001,England,Placed with parents,1.ii 20 miles or less outside LA boundary,840,12
2021,Reporting year,National,E92000001,England,Placed with parents,2.i Over 20 miles inside LA boundary,100,1
2021,Reporting year,National,E92000001,England,Placed with parents,2.ii Over 20 miles outside LA boundary,430,6
2021,Reporting year,National,E92000001,England,Placed with parents,Distance not Known or not recorded,10,~
2021,Reporting year,National,E92000001,England,Placed with parents,Total,6900,100
2021,Reporting year,National,E92000001,England,Residential placements,1.i 20 miles or less inside LA boundary,1000,28
2021,Reporting year,National,E92000001,England,Residential placements,1.ii 20 miles or less outside LA boundary,930,26
2021,Reporting year,National,E92000001,England,Residential placements,2.i Over 20 miles inside LA boundary,80,2
2021,Reporting year,National,E92000001,England,Residential placements,2.ii Over 20 miles outside LA boundary,1540,43
2021,Reporting year,National,E92000001,England,Residential placements,Distance not Known or not recorded,50,1
2021,Reporting year,National,E92000001,England,Residential placements,Total,3610,100
2021,Reporting year,National,E92000001,England,Residential schools,1.i 20 miles or less inside LA boundary,10,19
2021,Reporting year,National,E92000001,England,Residential schools,1.ii 20 miles or less outside LA boundary,20,22
2021,Reporting year,National,E92000001,England,Residential schools,2.i Over 20 miles inside LA boundary,c,c
2021,Reporting year,National,E92000001,England,Residential schools,2.ii Over 20 miles outside LA boundary,40,53
2021,Reporting year,National,E92000001,England,Residential schools,Distance not Known or not recorded,c,c
2021,Reporting year,National,E92000001,England,Residential schools,Total,70,100
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.i 20 miles or less inside LA boundary,4720,32
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.ii 20 miles or less outside LA boundary,2830,19
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.i Over 20 miles inside LA boundary,510,3
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.ii Over 20 miles outside LA boundary,3890,26
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Distance not Known or not recorded,2950,20
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Total,14880,100
2018,Reporting year,National,E92000001,England,All new placements,1. 20 miles or less,61500,72
2018,Reporting year,National,E92000001,England,All new placements,2. Over 20 miles,17120,20
2019,Reporting year,National,E92000001,England,All new placements,1. 20 miles or less,62180,71
2019,Reporting year,National,E92000001,England,All new placements,2. Over 20 miles,17870,20
2020,Reporting year,National,E92000001,England,All new placements,1. 20 miles or less,62870,71
2020,Reporting year,National,E92000001,England,All new placements,2. Over 20 miles,18080,20
2021,Reporting year,National,E92000001,England,All new placements,1. 20 miles or less,56780,71
2021,Reporting year,National,E92000001,England,All new placements,2. Over 20 miles,16920,21
2018,Reporting year,National,E92000001,England,All new placements,1.i 20 miles or less inside LA boundary,43430,51
2018,Reporting year,National,E92000001,England,All new placements,1.ii 20 miles or less outside LA boundary,18070,21
2018,Reporting year,National,E92000001,England,All new placements,2.i Over 20 miles inside LA boundary,4060,5
2018,Reporting year,National,E92000001,England,All new placements,2.ii Over 20 miles outside LA boundary,13060,15
2018,Reporting year,National,E92000001,England,All new placements,Distance not Known or not recorded,7100,8
2018,Reporting year,National,E92000001,England,All new placements,Total,85720,100
2019,Reporting year,National,E92000001,England,All new placements,1.i 20 miles or less inside LA boundary,43980,50
2019,Reporting year,National,E92000001,England,All new placements,1.ii 20 miles or less outside LA boundary,18200,21
2019,Reporting year,National,E92000001,England,All new placements,2.i Over 20 miles inside LA boundary,4040,5
2019,Reporting year,National,E92000001,England,All new placements,2.ii Over 20 miles outside LA boundary,13830,16
2019,Reporting year,National,E92000001,England,All new placements,Distance not Known or not recorded,8020,9
2019,Reporting year,National,E92000001,England,All new placements,Total,88070,100
2020,Reporting year,National,E92000001,England,All new placements,1.i 20 miles or less inside LA boundary,44160,50
2020,Reporting year,National,E92000001,England,All new placements,1.ii 20 miles or less outside LA boundary,18710,21
2020,Reporting year,National,E92000001,England,All new placements,2.i Over 20 miles inside LA boundary,4170,5
2020,Reporting year,National,E92000001,England,All new placements,2.ii Over 20 miles outside LA boundary,13920,16
2020,Reporting year,National,E92000001,England,All new placements,Distance not Known or not recorded,7830,9
2020,Reporting year,National,E92000001,England,All new placements,Total,88780,100
2021,Reporting year,National,E92000001,England,All new placements,1.i 20 miles or less inside LA boundary,39850,50
2021,Reporting year,National,E92000001,England,All new placements,1.ii 20 miles or less outside LA boundary,16930,21
2021,Reporting year,National,E92000001,England,All new placements,2.i Over 20 miles inside LA boundary,3610,5
2021,Reporting year,National,E92000001,England,All new placements,2.ii Over 20 miles outside LA boundary,13320,17
2021,Reporting year,National,E92000001,England,All new placements,Distance not Known or not recorded,6220,8
2021,Reporting year,National,E92000001,England,All new placements,Total,79920,100
