LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_19to21,CL_All_19,CL_All_20,CL_All_21,CL_Act_EET19to21,CL_Act_EET19,CL_Act_EET20,CL_Act_EET21,CL_Act_HE19to21,CL_Act_HE19,CL_Act_HE20,CL_Act_HE21,CL_Act_OE19to21,CL_Act_OE19,CL_Act_OE20,CL_Act_OE21,CL_Act_TE19to21,CL_Act_TE19,CL_Act_TE20,CL_Act_TE21,CL_Act_NEET19to21,CL_Act_NEET19,CL_Act_NEET20,CL_Act_NEET21,CL_Act_NEET_ill19to21,CL_Act_NEET_ill19,CL_Act_NEET_ill20,CL_Act_NEET_ill21,CL_Act_NEET_oth19to21,CL_Act_NEET_oth19,CL_Act_NEET_oth20,CL_Act_NEET_oth21,CL_Act_NEET_preg19to21,CL_Act_NEET_preg19,CL_Act_NEET_preg20,CL_Act_NEET_preg21,CL_Act_NoInf19to21,CL_Act_NoInf19,CL_Act_NoInf20,CL_Act_NoInf21,CL_Act_EET19to21_pc,CL_Act_EET19_pc,CL_Act_EET20_pc,CL_Act_EET21_pc,CL_Act_HE19to21_pc,CL_Act_HE19_pc,CL_Act_HE20_pc,CL_Act_HE21_pc,CL_Act_OE19to21_pc,CL_Act_OE19_pc,CL_Act_OE20_pc,CL_Act_OE21_pc,CL_Act_TE19to21_pc,CL_Act_TE19_pc,CL_Act_TE20_pc,CL_Act_TE21_pc,CL_Act_NEET19to21_pc,CL_Act_NEET19_pc,CL_Act_NEET20_pc,CL_Act_NEET21_pc,CL_Act_NEET_ill19to21_pc,CL_Act_NEET_ill19_pc,CL_Act_NEET_ill20_pc,CL_Act_NEET_ill21_pc,CL_Act_NEET_oth19to21_pc,CL_Act_NEET_oth19_pc,CL_Act_NEET_oth20_pc,CL_Act_NEET_oth21_pc,CL_Act_NEET_preg19to21_pc,CL_Act_NEET_preg19_pc,CL_Act_NEET_preg20_pc,CL_Act_NEET_preg21_pc,CL_Act_NoInf19to21_pc,CL_Act_NoInf19_pc,CL_Act_NoInf20_pc,CL_Act_NoInf21_pc,CL_InTouch_IT19to21,CL_InTouch_IT19,CL_InTouch_IT20,CL_InTouch_IT21,CL_InTouch_Refu19to21,CL_InTouch_Refu19,CL_InTouch_Refu20,CL_InTouch_Refu21,CL_InTouch_NoServ19to21,CL_InTouch_NoServ19,CL_InTouch_NoServ20,CL_InTouch_NoServ21,CL_InTouch_Not19to21,CL_InTouch_Not19,CL_InTouch_Not20,CL_InTouch_Not21,CL_InTouch_IT19to21_pc,CL_InTouch_IT19_pc,CL_InTouch_IT20_pc,CL_InTouch_IT21_pc,CL_InTouch_Refu19to21_pc,CL_InTouch_Refu19_pc,CL_InTouch_Refu20_pc,CL_InTouch_Refu21_pc,CL_InTouch_NoServ19to21_pc,CL_InTouch_NoServ19_pc,CL_InTouch_NoServ20_pc,CL_InTouch_NoServ21_pc,CL_InTouch_Not19to21_pc,CL_InTouch_Not19_pc,CL_InTouch_Not20_pc,CL_InTouch_Not21_pc
49,E06000013,LA,813,North Lincolnshire,57,20,22,15,31,10,12,9,x,x,x,x,15,x,x,x,x,x,x,x,20,x,x,x,x,x,x,0,10,x,x,x,x,x,x,x,6,x,x,x,54,50,55,60,x,x,x,x,26,x,x,x,x,x,x,x,35,x,x,x,x,x,x,0,18,x,x,x,x,x,x,x,11,x,x,x,51,x,x,x,0,0,0,0,6,x,x,x,0,0,0,0,89,x,x,x,0,0,0,0,11,x,x,x,0,0,0,0
50,E10000023,LA,815,North Yorkshire,174,63,60,51,112,42,41,29,7,x,x,x,44,21,x,x,61,x,23,19,50,x,x,14,24,6,8,x,17,11,x,x,9,x,x,x,12,x,x,x,64,67,68,57,4,x,x,x,25,33,x,x,35,x,38,37,29,x,x,27,14,10,13,x,10,17,x,x,5,x,x,x,7,x,x,x,160,x,x,43,x,x,x,0,x,x,x,8,x,x,0,0,92,x,x,84,x,x,x,0,x,x,x,16,x,x,0,0
54,E06000014,LA,816,York,80,20,28,32,52,x,15,21,6,x,x,x,16,6,x,x,30,9,x,15,21,x,x,x,7,x,x,x,8,x,x,x,6,x,x,x,7,x,x,x,65,x,54,66,8,x,x,x,20,30,x,x,38,45,x,47,26,x,x,x,9,x,x,x,10,x,x,x,8,x,x,x,9,x,x,x,71,x,x,x,0,0,0,0,x,0,x,x,x,x,x,x,89,x,x,x,0,0,0,0,x,0,x,x,x,x,x,x
86,E06000032,LA,821,Luton,170,65,50,55,79,37,22,20,8,x,x,x,36,18,x,x,35,x,11,9,42,16,12,14,9,x,x,x,21,9,x,x,12,x,x,x,49,12,16,21,46,57,44,36,5,x,x,x,21,28,x,x,21,x,22,16,25,25,24,25,5,x,x,x,12,14,x,x,7,x,x,x,29,18,32,38,121,53,34,34,x,x,x,x,x,x,0,x,35,x,x,14,71,82,68,62,x,x,x,x,x,x,0,x,21,x,x,25
81,E06000055,LA,822,Bedford,108,36,32,40,x,19,16,x,x,0,x,x,31,13,8,10,18,6,x,x,55,17,x,23,10,x,x,x,37,x,9,14,8,x,x,x,x,0,x,x,x,53,50,x,x,0,x,x,29,36,25,25,17,17,x,x,51,47,x,58,9,x,x,x,34,x,28,35,7,x,x,x,x,0,x,x,92,x,x,34,0,0,0,0,0,0,0,0,16,x,x,6,85,x,x,85,0,0,0,0,0,0,0,0,15,x,x,15
82,E06000056,LA,823,Central Bedfordshire,105,40,39,26,66,24,23,19,x,x,x,x,35,16,x,x,x,x,x,13,32,x,x,x,x,0,x,x,20,x,10,x,x,x,x,x,7,x,x,x,63,60,59,73,x,x,x,x,33,40,x,x,x,x,x,50,30,x,x,x,x,0,x,x,19,x,26,x,x,x,x,x,7,x,x,x,96,34,x,x,x,x,0,0,x,0,x,0,x,x,x,x,91,85,x,x,x,x,0,0,x,0,x,0,x,x,x,x
131,E10000002,LA,825,Buckinghamshire,199,68,64,67,102,43,34,25,15,x,x,7,39,x,x,8,48,23,15,10,68,x,23,25,17,6,x,x,38,9,13,16,13,x,x,x,29,x,x,17,51,63,53,37,8,x,x,10,20,x,x,12,24,34,23,15,34,x,36,37,9,9,x,x,19,13,20,24,7,x,x,x,15,x,x,25,157,60,55,42,x,x,x,x,x,0,x,12,23,x,x,x,79,88,86,63,x,x,x,x,x,0,x,18,12,x,x,x
137,E06000042,LA,826,Milton Keynes,149,51,58,40,68,26,22,20,x,x,0,x,x,13,10,x,34,x,12,11,65,x,28,14,15,x,x,x,40,18,15,7,10,x,x,x,16,x,8,x,46,51,38,50,x,x,0,x,x,25,17,x,23,x,21,28,44,x,48,35,10,x,x,x,27,35,26,18,7,x,x,x,11,x,14,x,129,x,49,33,0,0,0,0,0,0,0,0,20,x,9,7,87,x,84,83,0,0,0,0,0,0,0,0,13,x,16,18
57,E10000007,LA,830,Derbyshire,265,91,83,91,x,x,42,x,24,13,x,x,x,x,x,9,80,27,30,23,139,47,x,52,66,22,22,22,50,15,15,20,23,x,x,10,x,x,x,x,x,x,51,x,9,14,x,x,7,x,x,10,30,30,36,25,52,52,x,57,25,24,27,24,19,16,18,22,9,x,x,11,x,x,x,x,x,x,x,x,x,0,x,0,0,0,0,0,x,x,0,x,x,x,x,x,x,0,x,0,0,0,0,0,x,x,0,x
56,E06000015,LA,831,Derby,136,57,42,37,83,44,21,18,6,x,x,x,28,x,x,x,49,22,12,x,44,x,x,x,13,x,x,x,22,7,9,6,9,x,x,x,9,x,x,x,61,77,50,49,4,x,x,x,21,x,x,x,36,39,29,x,32,x,x,x,10,x,x,x,16,12,21,16,7,x,x,x,7,x,x,x,127,x,x,x,0,0,0,0,0,0,0,0,9,x,x,x,93,x,x,x,0,0,0,0,0,0,0,0,7,x,x,x
154,E10000009,LA,835,Dorset,208,67,67,74,92,34,30,28,8,x,x,x,30,18,x,x,54,x,19,21,90,24,31,35,38,x,11,18,30,12,11,7,22,x,x,10,26,9,6,11,44,51,45,38,4,x,x,x,14,27,x,x,26,x,28,28,43,36,46,47,18,x,16,24,14,18,16,9,11,x,x,14,13,13,9,15,182,58,61,63,x,0,x,0,x,x,0,x,15,x,x,x,88,87,91,85,x,0,x,0,x,x,0,x,7,x,x,x
159,E06000029,LA,836,Poole,60,22,17,21,40,15,11,14,x,0,0,x,x,x,x,x,26,x,x,7,x,x,6,7,x,x,x,x,7,x,x,x,7,x,x,x,x,x,0,0,67,68,65,67,x,0,0,x,x,x,x,x,43,x,x,33,x,x,35,33,x,x,x,x,12,x,x,x,12,x,x,x,x,x,0,0,x,x,17,21,0,0,0,0,0,0,0,0,x,x,0,0,x,x,100,100,0,0,0,0,0,0,0,0,x,x,0,0
150,E06000028,LA,837,Bournemouth,88,23,34,31,37,11,16,x,x,x,x,x,x,x,x,x,26,x,x,8,41,x,x,19,20,x,x,10,15,x,x,x,6,0,x,x,10,x,x,x,42,48,47,x,x,x,x,x,x,x,x,x,30,x,x,26,47,x,x,61,23,x,x,32,17,x,x,x,7,0,x,x,11,x,x,x,78,x,x,x,x,0,x,x,0,0,0,0,x,x,x,x,89,x,x,x,x,0,x,x,0,0,0,0,x,x,x,x
4,E06000047,LA,840,Durham,160,57,51,52,95,37,32,26,12,x,x,x,34,20,x,x,49,x,20,14,51,20,x,17,19,x,8,x,16,8,x,x,16,x,x,8,14,0,x,x,59,65,63,50,8,x,x,x,21,35,x,x,31,x,39,27,32,35,x,33,12,x,16,x,10,14,x,x,10,x,x,15,9,0,x,x,146,57,x,43,x,0,0,x,x,0,x,x,x,0,x,x,91,100,x,83,x,0,0,x,x,0,x,x,x,0,x,x
3,E06000005,LA,841,Darlington,67,23,26,18,46,16,17,x,x,x,x,x,x,x,x,0,40,x,x,12,21,x,9,x,10,x,x,x,x,x,x,x,x,x,x,x,0,0,0,0,69,70,65,x,x,x,x,x,x,x,x,0,60,x,x,67,31,x,35,x,15,x,x,x,x,x,x,x,x,x,x,x,0,0,0,0,x,x,x,x,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,x,x,x,x
132,E10000011,LA,845,East Sussex,154,57,54,43,80,33,28,19,10,x,x,x,35,18,x,x,35,x,14,9,42,10,17,15,6,x,x,x,20,x,10,x,16,x,x,x,32,14,9,9,52,58,52,44,6,x,x,x,23,32,x,x,23,x,26,21,27,18,31,35,4,x,x,x,13,x,19,x,10,x,x,x,21,25,17,21,122,43,45,34,6,x,x,x,0,0,0,0,26,x,x,x,79,75,83,79,4,x,x,x,0,0,0,0,17,x,x,x
130,E06000043,LA,846,Brighton and Hove,195,75,67,53,135,56,43,36,16,x,7,x,60,37,15,8,59,x,21,22,x,x,x,17,x,x,x,6,42,16,15,11,0,0,0,0,x,x,x,0,69,75,64,68,8,x,10,x,31,49,22,15,30,x,31,42,x,x,x,32,7,x,x,11,22,21,22,21,0,0,0,0,x,x,x,0,x,x,x,53,0,0,0,0,0,0,0,0,x,x,x,0,x,x,x,100,0,0,0,0,0,0,0,0,x,x,x,0
133,E10000014,LA,850,Hampshire,530,176,167,187,238,91,75,72,16,x,9,x,95,49,31,x,127,x,35,53,187,52,67,68,51,x,19,21,114,38,40,36,22,x,x,11,105,33,25,47,45,52,45,39,3,x,5,x,18,28,19,x,24,x,21,28,35,30,40,36,10,x,11,11,22,22,24,19,4,x,x,6,20,19,15,25,425,143,142,140,8,x,x,x,11,x,x,x,86,x,x,37,80,81,85,75,2,x,x,x,2,x,x,x,16,x,x,20
139,E06000044,LA,851,Portsmouth,115,36,36,43,43,15,17,11,x,0,x,0,x,8,x,x,25,7,9,x,45,14,12,19,x,0,x,x,36,x,x,x,x,x,0,x,27,7,7,13,37,42,47,26,x,0,x,0,x,22,x,x,22,19,25,x,39,39,33,44,x,0,x,x,31,x,x,x,x,x,0,x,23,19,19,30,88,29,29,30,x,x,x,x,19,x,x,x,x,0,0,x,77,81,81,70,x,x,x,x,17,x,x,x,x,0,0,x
142,E06000045,LA,852,Southampton,124,45,42,37,51,x,15,19,7,0,x,x,11,x,x,x,33,10,9,x,57,24,19,x,16,x,9,x,29,12,10,7,12,x,0,x,16,x,8,x,41,x,36,51,6,0,x,x,9,x,x,x,27,22,21,x,46,53,45,x,13,x,21,x,23,27,24,19,10,x,0,x,13,x,19,x,107,x,34,x,x,0,0,x,0,0,0,0,x,x,8,x,86,x,81,x,x,0,0,x,0,0,0,0,x,x,19,x
59,E10000018,LA,855,Leicestershire,174,57,66,51,x,29,33,21,x,x,6,x,32,14,9,9,38,x,18,x,90,28,x,30,18,x,9,x,50,18,12,20,22,x,11,x,x,0,x,0,x,51,50,41,7,x,9,x,18,25,14,18,22,x,27,x,52,49,x,59,10,x,14,x,29,32,18,39,13,x,17,x,x,0,x,0,162,x,x,x,x,0,0,x,x,0,0,x,x,x,x,x,93,x,x,x,x,0,0,x,x,0,0,x,x,x,x,x
58,E06000016,LA,856,Leicester,199,66,65,68,112,37,40,35,7,x,x,x,48,20,x,x,57,x,20,21,x,29,x,33,30,10,6,14,39,13,14,12,x,x,x,7,x,0,x,0,56,56,62,51,4,x,x,x,24,30,x,x,29,x,31,31,x,44,x,49,15,15,9,21,20,20,22,18,9,x,x,10,x,0,x,0,x,66,x,68,x,0,x,0,0,0,0,0,x,0,x,0,x,100,x,100,x,0,x,0,0,0,0,0,x,0,x,0
64,E06000017,LA,857,Rutland,18,x,7,x,10,x,x,x,0,0,0,0,x,x,x,x,x,0,x,x,8,x,x,x,x,0,x,x,x,x,0,x,x,x,x,x,0,0,0,0,56,x,x,x,0,0,0,0,x,x,x,x,x,0,x,x,44,x,x,x,x,0,x,x,x,x,0,x,x,x,x,x,0,0,0,0,18,x,7,6,0,0,0,0,0,0,0,0,0,0,0,0,100,x,100,100,0,0,0,0,0,0,0,0,0,0,0,0
73,E10000028,LA,860,Staffordshire,327,137,99,91,171,79,47,45,18,7,x,x,71,45,9,x,82,27,31,24,127,47,43,37,39,10,14,15,57,31,18,8,31,6,11,14,29,11,9,9,52,58,47,49,6,5,x,x,22,33,9,x,25,20,31,26,39,34,43,41,12,7,14,16,17,23,18,9,9,4,11,15,9,8,9,10,291,124,87,80,x,x,0,x,x,x,x,x,26,x,x,x,89,91,88,88,x,x,0,x,x,x,x,x,8,x,x,x
74,E06000021,LA,861,Stoke-on-Trent,164,51,61,52,61,x,x,24,6,x,x,x,21,11,x,x,34,7,11,16,93,31,40,22,27,8,13,6,43,16,18,9,23,7,9,7,10,x,x,x,37,x,x,46,4,x,x,x,13,22,x,x,21,14,18,31,57,61,66,42,16,16,21,12,26,31,30,17,14,14,15,13,6,x,x,x,154,x,x,46,x,x,x,x,x,0,0,x,x,0,0,x,94,x,x,88,x,x,x,x,x,0,0,x,x,0,0,x
164,E06000054,LA,865,Wiltshire,161,47,56,58,72,23,x,26,x,0,x,x,x,11,6,x,40,12,15,13,77,x,31,24,26,x,15,x,40,14,x,13,11,x,x,x,12,x,x,x,45,49,x,45,x,0,x,x,x,23,11,x,25,26,27,22,48,x,55,41,16,x,27,x,25,30,x,22,7,x,x,x,7,x,x,x,149,x,x,50,x,x,0,x,x,x,0,x,x,0,x,x,93,x,x,86,x,x,0,x,x,x,0,x,x,0,x,x
162,E06000030,LA,866,Swindon,124,47,37,40,74,33,15,26,8,x,x,x,23,x,x,x,43,15,9,19,50,14,22,14,x,x,x,7,28,x,13,x,x,x,x,x,0,0,0,0,60,70,41,65,6,x,x,x,19,x,x,x,35,32,24,48,40,30,59,35,x,x,x,18,23,x,35,x,x,x,x,x,0,0,0,0,124,47,37,40,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0
129,E06000036,LA,867,Bracknell Forest,42,19,11,12,28,x,x,6,x,x,x,0,x,x,x,0,20,8,6,6,14,x,x,6,x,x,x,x,x,x,x,0,7,x,x,x,0,0,0,0,67,x,x,50,x,x,x,0,x,x,x,0,48,42,55,50,33,x,x,50,x,x,x,x,x,x,x,0,17,x,x,x,0,0,0,0,42,19,11,12,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0
146,E06000040,LA,868,Windsor and Maidenhead,48,16,19,13,25,7,10,x,x,x,x,0,x,x,x,x,12,x,x,x,15,x,x,x,x,x,x,x,7,x,x,0,x,x,x,x,8,x,x,x,52,44,53,x,x,x,x,0,x,x,x,x,25,x,x,x,31,x,x,x,x,x,x,x,15,x,x,0,x,x,x,x,17,x,x,x,40,x,x,x,x,x,0,0,x,0,x,0,x,x,x,x,83,x,x,x,x,x,0,0,x,0,x,0,x,x,x,x
144,E06000037,LA,869,West Berkshire,78,35,18,25,38,19,8,11,6,x,0,x,12,x,x,x,20,11,x,x,25,x,x,6,12,x,x,x,x,8,x,x,x,x,0,x,15,x,x,8,49,54,44,44,8,x,0,x,15,x,x,x,26,31,x,x,32,x,x,24,15,x,x,x,x,23,x,x,x,x,0,x,19,x,x,32,58,x,12,16,x,x,0,0,x,x,x,x,12,x,x,x,74,x,67,64,x,x,0,0,x,x,x,x,15,x,x,x
140,E06000038,LA,870,Reading,87,28,32,27,37,12,14,11,x,0,x,x,x,x,x,x,26,x,x,x,36,x,x,x,6,x,x,x,20,x,8,x,10,x,x,x,14,x,x,x,43,43,44,41,x,0,x,x,x,x,x,x,30,x,x,x,41,x,x,x,7,x,x,x,23,x,25,x,11,x,x,x,16,x,x,x,73,x,x,x,0,0,0,0,0,0,0,0,14,x,x,x,84,x,x,x,0,0,0,0,0,0,0,0,16,x,x,x
141,E06000039,LA,871,Slough,89,31,27,31,34,12,x,x,x,x,x,x,x,x,x,x,21,6,7,8,40,12,13,15,8,x,x,x,24,x,6,9,8,x,x,x,15,7,x,x,38,39,x,x,x,x,x,x,x,x,x,x,24,19,26,26,45,39,48,48,9,x,x,x,27,x,22,29,9,x,x,x,17,23,x,x,74,24,x,x,x,0,x,x,0,0,0,0,x,7,x,x,83,77,x,x,x,0,x,x,0,0,0,0,x,23,x,x
147,E06000041,LA,872,Wokingham,28,10,10,8,17,x,x,x,x,x,0,x,x,x,x,0,x,x,x,x,x,x,x,x,x,0,x,0,6,x,x,0,x,0,0,x,x,x,0,0,61,x,x,x,x,x,0,x,x,x,x,0,x,x,x,x,x,x,x,x,x,0,x,0,21,x,x,0,x,0,0,x,x,x,0,0,x,x,10,8,0,0,0,0,0,0,0,0,x,x,0,0,x,x,100,100,0,0,0,0,0,0,0,0,x,x,0,0
83,E10000003,LA,873,Cambridgeshire,231,93,76,62,108,57,31,20,13,x,6,x,41,x,10,x,54,29,15,10,79,x,32,14,21,x,x,x,46,21,18,7,12,x,x,x,44,x,x,28,47,61,41,32,6,x,8,x,18,x,13,x,23,31,20,16,34,x,42,23,9,x,x,x,20,23,24,11,5,x,x,x,19,x,x,45,171,83,57,31,x,0,x,0,x,x,x,0,54,x,x,31,74,89,75,50,x,0,x,0,x,x,x,0,23,x,x,50
88,E06000031,LA,874,Peterborough,139,46,46,47,63,x,26,17,6,0,x,x,29,14,x,x,28,6,13,9,63,24,x,22,23,x,7,9,27,12,7,x,13,x,x,x,13,x,x,x,45,x,57,36,4,0,x,x,21,30,x,x,20,13,28,19,45,52,x,47,17,x,15,19,19,26,15,x,9,x,x,x,9,x,x,x,125,x,x,39,x,x,0,x,x,x,x,0,8,x,x,x,90,x,x,83,x,x,0,x,x,x,x,0,6,x,x,x
23,E06000006,LA,876,Halton,54,25,14,15,31,13,8,x,x,x,0,x,x,x,x,x,22,x,x,6,x,x,6,x,x,0,x,x,13,x,x,0,x,x,x,x,x,x,0,0,57,52,57,x,x,x,0,x,x,x,x,x,41,x,x,40,x,x,43,x,x,0,x,x,24,x,x,0,x,x,x,x,x,x,0,0,x,x,14,15,0,0,0,0,x,x,0,0,x,x,0,0,x,x,100,100,0,0,0,0,x,x,0,0,x,x,0,0
36,E06000007,LA,877,Warrington,91,31,33,27,45,15,19,x,x,0,x,x,x,9,x,x,23,6,11,6,x,x,14,15,11,x,x,x,24,10,7,7,x,x,x,x,x,x,0,x,49,48,58,x,x,0,x,x,x,29,x,x,25,19,33,22,x,x,42,56,12,x,x,x,26,32,21,26,9,x,x,x,x,x,0,x,x,x,33,x,0,0,0,0,0,0,0,0,x,x,0,x,x,x,100,x,0,0,0,0,0,0,0,0,x,x,0,x
153,E10000008,LA,878,Devon,350,99,128,123,117,38,41,38,11,x,x,x,29,x,x,x,77,21,26,30,159,47,61,51,77,20,35,22,53,18,17,18,29,9,9,11,74,14,26,34,33,38,32,31,3,x,x,x,8,x,x,x,22,21,20,24,45,47,48,41,22,20,27,18,15,18,13,15,8,9,7,9,21,14,20,28,276,85,102,89,x,x,x,x,x,0,x,x,52,x,19,22,79,86,80,72,x,x,x,x,x,0,x,x,15,x,15,18
158,E06000026,LA,879,Plymouth,200,61,68,71,87,30,x,x,7,x,x,x,26,14,6,6,54,x,17,24,103,x,40,35,35,10,15,10,68,18,25,25,0,0,0,0,10,x,x,x,44,49,x,x,4,x,x,x,13,23,9,8,27,x,25,34,52,x,59,49,18,16,22,14,34,30,37,35,0,0,0,0,5,x,x,x,190,x,x,x,0,0,0,0,0,0,0,0,10,x,x,x,95,x,x,x,0,0,0,0,0,0,0,0,5,x,x,x
163,E06000027,LA,880,Torbay,107,44,35,28,x,24,19,9,x,x,x,x,12,x,x,x,31,14,x,x,54,20,x,19,13,x,x,x,32,x,6,11,9,0,x,x,x,0,x,0,x,55,54,32,8,x,x,x,11,x,x,x,29,32,x,x,50,45,x,68,12,x,x,x,30,x,17,39,8,0,x,x,x,0,x,0,x,44,x,28,0,0,0,0,0,0,0,0,x,0,x,0,x,100,x,100,0,0,0,0,0,0,0,0,x,0,x,0
84,E10000012,LA,881,Essex,623,193,215,215,308,111,106,91,33,7,13,13,119,71,38,10,156,33,55,68,279,70,100,109,52,9,20,23,165,46,58,61,62,15,22,25,36,12,9,15,49,58,49,42,5,4,6,6,19,37,18,5,25,17,26,32,45,36,47,51,8,5,9,11,26,24,27,28,10,8,10,12,6,6,4,7,503,163,175,165,0,0,0,0,0,0,0,0,120,30,40,50,81,84,81,77,0,0,0,0,0,0,0,0,19,16,19,23
89,E06000033,LA,882,Southend-on-Sea,111,41,32,38,45,17,15,13,8,x,x,x,14,x,x,x,23,7,x,6,49,18,x,17,x,x,0,x,39,x,12,x,x,x,x,x,17,x,x,8,41,41,47,34,7,x,x,x,13,x,x,x,21,17,x,16,44,44,x,45,x,x,0,x,35,x,38,x,x,x,x,x,15,x,x,21,91,35,x,29,0,0,0,0,x,x,x,x,x,x,x,x,82,85,x,76,0,0,0,0,x,x,x,x,x,x,x,x
91,E06000034,LA,883,Thurrock,167,68,54,45,104,50,28,26,x,x,x,x,57,34,x,x,x,x,14,15,47,11,20,x,8,x,x,x,31,x,x,x,8,x,x,x,16,7,x,x,62,74,52,58,x,x,x,x,34,50,x,x,x,x,26,33,28,16,37,x,5,x,x,x,19,x,x,x,5,x,x,x,10,10,x,x,146,60,45,x,x,x,0,0,x,x,x,0,11,x,x,x,87,88,83,x,x,x,0,0,x,x,x,0,7,x,x,x
69,E06000019,LA,884,Herefordshire,105,38,31,36,40,20,x,x,x,x,x,x,x,x,x,0,27,11,8,8,51,12,16,23,14,x,x,6,19,x,x,9,18,x,x,8,14,6,x,x,38,53,x,x,x,x,x,x,x,x,x,0,26,29,26,22,49,32,52,64,13,x,x,17,18,x,x,25,17,x,x,22,13,16,x,x,91,32,x,x,0,0,0,0,0,0,0,0,14,6,x,x,87,84,x,x,0,0,0,0,0,0,0,0,13,16,x,x
79,E10000034,LA,885,Worcestershire,293,104,89,100,141,58,44,39,13,7,x,x,47,26,x,x,81,25,29,27,124,39,35,50,40,8,11,21,61,23,18,20,23,8,6,9,28,7,10,11,48,56,49,39,4,7,x,x,16,25,x,x,28,24,33,27,42,38,39,50,14,8,12,21,21,22,20,20,8,8,7,9,10,7,11,11,251,93,72,86,x,x,x,x,x,0,0,x,36,x,x,x,86,89,81,86,x,x,x,x,x,0,0,x,12,x,x,x
135,E10000016,LA,886,Kent,1349,595,455,299,702,373,210,119,50,15,20,15,361,254,80,27,291,104,110,77,398,148,147,103,72,16,28,28,246,115,81,50,80,17,38,25,249,74,98,77,52,63,46,40,4,3,4,5,27,43,18,9,22,17,24,26,30,25,32,34,5,3,6,9,18,19,18,17,6,3,8,8,18,12,22,26,1100,521,357,222,130,44,49,37,67,18,27,22,52,12,22,18,82,88,78,74,10,7,11,12,5,3,6,7,4,2,5,6
136,E06000035,LA,887,Medway,112,43,34,35,x,23,14,x,x,x,x,x,19,11,x,x,23,x,8,6,59,x,20,21,20,x,x,9,23,9,x,6,16,6,x,x,x,x,0,x,x,53,41,x,7,x,x,x,17,26,x,x,21,x,24,17,53,x,59,60,18,x,x,26,21,21,x,17,14,14,x,x,x,x,0,x,x,x,34,x,0,0,0,0,x,x,0,0,x,0,0,x,x,x,100,x,0,0,0,0,x,x,0,0,x,0,0,x
25,E10000017,LA,888,Lancashire,442,154,145,143,188,x,51,64,18,7,x,x,62,32,x,16,108,34,32,42,230,76,84,70,75,21,28,26,100,38,37,25,55,17,19,19,24,x,10,x,43,x,35,45,4,5,x,x,14,21,x,11,24,22,22,29,52,49,58,49,17,14,19,18,23,25,26,17,12,11,13,13,5,x,7,x,393,143,121,129,0,0,0,0,0,0,0,0,49,11,24,14,89,93,83,90,0,0,0,0,0,0,0,0,11,7,17,10
16,E06000008,LA,889,Blackburn with Darwen,60,28,17,15,x,x,11,7,x,x,x,x,16,8,x,x,7,0,x,x,32,18,6,8,x,x,x,x,17,10,x,x,x,x,x,x,x,x,0,0,x,x,65,47,x,x,x,x,27,29,x,x,12,0,x,x,53,64,35,53,x,x,x,x,28,36,x,x,x,x,x,x,x,x,0,0,x,x,17,15,0,0,0,0,x,x,0,0,x,x,0,0,x,x,100,100,0,0,0,0,x,x,0,0,x,x,0,0
17,E06000009,LA,890,Blackpool,139,58,36,45,64,30,x,20,11,x,x,x,20,x,x,x,33,15,6,12,68,28,21,19,26,15,x,x,30,x,9,10,12,x,x,x,7,0,x,x,46,52,x,44,8,x,x,x,14,x,x,x,24,26,17,27,49,48,58,42,19,26,x,x,22,x,25,22,9,x,x,x,5,0,x,x,130,x,x,38,x,x,0,x,0,0,0,0,x,0,x,x,94,x,x,84,x,x,0,x,0,0,0,0,x,0,x,x
63,E10000024,LA,891,Nottinghamshire,348,120,116,112,154,59,51,44,11,x,x,x,59,29,x,x,84,x,30,29,163,54,57,52,62,18,18,26,101,36,39,26,0,0,0,0,31,7,8,16,44,49,44,39,3,x,x,x,17,24,x,x,24,x,26,26,47,45,49,46,18,15,16,23,29,30,34,23,0,0,0,0,9,6,7,14,315,112,108,95,x,x,x,x,x,x,x,8,16,x,x,x,91,93,93,85,x,x,x,x,x,x,x,7,5,x,x,x
62,E06000018,LA,892,Nottingham,232,63,96,73,133,38,52,43,11,x,x,x,30,x,x,6,92,24,37,31,72,x,32,19,21,x,9,x,33,14,10,9,18,x,x,x,27,x,12,x,57,60,54,59,5,x,x,x,13,x,x,8,40,38,39,42,31,x,33,26,9,x,9,x,14,22,10,12,8,x,x,x,12,x,13,x,198,x,80,60,0,0,0,0,0,0,0,0,34,x,16,13,85,x,83,82,0,0,0,0,0,0,0,0,15,x,17,18
71,E06000051,LA,893,Shropshire,109,39,39,31,64,25,26,x,6,x,x,x,19,13,x,x,39,x,18,10,x,x,13,14,22,6,x,x,x,7,x,x,0,0,0,0,x,x,0,x,59,64,67,x,6,x,x,x,17,33,x,x,36,x,46,32,x,x,33,45,20,15,x,x,17,18,x,x,0,0,0,0,x,x,0,x,x,x,39,x,x,x,0,x,x,0,0,x,0,0,0,0,x,x,100,x,x,x,0,x,x,0,0,x,0,0,0,0
