LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_cease2014,CLA_cease2015,CLA_cease2016,CLA_cease2017,CLA_cease2018,CEA_male,CEA_female,CEA_male_pc,CEA_female_pc,CEA_U1,CEA_1to4,CEA_5to9,CEA_10to15,CEA_16,CEA_17,CEA_18over,CEA_U1_pc,CEA_1to4_pc,CEA_5to9_pc,CEA_10to15_pc,CEA_16_pc,CEA_17_pc,CEA_18over_pc,CEA_Adop1,CEA_Adop2,CEA_Died,CEA_Taken,CEA_ParPlan,CEA_ParNPlan,CEA_NoPar,CEA_CAO,CEA_SGO1,CEA_SGO2,CEA_IndLiv1,CEA_IndLiv2,CEA_Residential,CEA_Custody,CEA_RemEnd,CEA_AgeAssmt,CEA_Abroad,CEA_Other,CEA_Adop_pc
112,E09000005,LA,304,Brent,241,268,220,231,175,105,70,60,40,x,25,x,27,19,12,77,x,14,x,15,11,7,44,0,9,0,7,48,x,x,0,x,x,71,x,x,10,x,x,x,x,5
113,E09000006,LA,305,Bromley,189,156,135,176,148,84,64,57,43,x,18,24,27,13,x,54,x,12,16,18,9,x,36,7,7,0,x,30,13,x,x,8,x,x,0,x,x,x,x,x,55,9
114,E09000008,LA,306,Croydon,359,400,421,479,442,329,113,74,26,17,46,17,67,43,72,180,4,10,4,15,10,16,41,x,x,x,58,18,x,x,6,9,16,73,18,64,11,0,x,0,148,2
115,E09000009,LA,307,Ealing,261,218,237,207,187,83,104,44,56,13,19,25,30,8,7,85,7,10,13,16,4,4,45,x,x,0,x,63,10,0,x,x,7,x,x,x,x,0,x,0,83,5
116,E09000010,LA,308,Enfield,184,185,216,222,170,98,72,58,42,8,17,23,33,13,16,60,5,10,14,19,8,9,35,x,x,0,x,44,10,x,x,x,12,50,x,x,7,x,x,0,14,7
98,E09000014,LA,309,Haringey,261,249,218,179,215,123,92,57,43,19,35,15,35,12,18,81,9,16,7,16,6,8,38,x,x,0,x,52,16,x,0,x,16,x,0,0,x,x,0,x,101,5
118,E09000015,LA,310,Harrow,141,122,130,164,159,95,64,60,40,13,20,28,40,10,10,38,8,13,18,25,6,6,24,x,x,x,0,41,21,x,x,7,15,9,x,x,x,x,x,0,37,7
119,E09000016,LA,311,Havering,129,193,164,143,127,79,48,62,38,x,20,16,28,9,x,41,x,16,13,22,7,x,32,7,0,0,0,40,7,x,x,21,x,35,x,x,x,x,0,0,x,6
120,E09000017,LA,312,Hillingdon,213,258,255,269,235,137,98,58,42,13,33,27,35,31,28,68,6,14,11,15,13,12,29,9,7,0,32,47,14,8,x,x,15,30,29,x,x,0,0,x,31,7
121,E09000018,LA,313,Hounslow,150,180,174,181,147,75,72,51,49,x,19,21,26,x,8,62,x,13,14,18,x,5,42,7,8,x,0,46,12,0,x,x,x,57,0,x,x,0,0,0,x,10
122,E09000021,LA,314,Kingston upon Thames,69,58,85,55,59,33,26,56,44,x,13,x,11,0,x,21,x,22,x,19,0,x,36,x,x,0,0,6,x,x,x,x,x,x,0,x,0,x,x,0,26,14
123,E09000024,LA,315,Merton,107,105,117,113,85,48,37,56,44,x,6,10,11,x,6,43,x,7,12,13,x,7,51,x,x,0,0,12,10,x,0,0,x,26,x,x,x,0,x,x,13,11
103,E09000025,LA,316,Newham,273,270,299,276,242,124,118,51,49,15,32,24,52,13,17,89,6,13,10,21,5,7,37,x,x,x,x,88,15,x,0,10,14,46,0,0,x,0,x,x,50,x
124,E09000026,LA,317,Redbridge,140,120,141,175,148,83,65,56,44,10,29,12,26,9,11,51,7,20,8,18,6,7,34,x,x,0,x,30,8,x,x,x,24,15,x,x,x,x,x,0,50,5
125,E09000027,LA,318,Richmond upon Thames,50,57,51,81,64,41,23,64,36,6,8,x,9,x,x,30,9,13,x,14,x,x,47,x,x,x,0,8,x,x,0,0,x,x,0,x,0,x,0,0,29,x
