LA_order,New_geog_code,geog_l,geog_c,geog_n,OC2_12mths,OC2_10to17,OC2_convicted,OC2_convicted_pc,OC2_submisuse,OC2_subint,OC2_suboffint,OC2_submisuse_pc,OC2_subint_pc,OC2_suboffint_pc,OC2_immunisation,OC2_teethcheck,OC2_healthassmt,OC2_immunisation_pc,OC2_teethcheck_pc,OC2_healthassmt_pc,OC2_4andunder,OC2_devassmt,OC2_devassmt_pc,OC2_5to16,OC2_SDQ,OC2_SDQ_pc,OC2_SDQnormal,OC2_SDQborderline,OC2_SDQconcern,OC2_SDQnormal_pc,OC2_SDQborderline_pc,OC2_SDQconcern_pc,OC2_SDQaverage
30,E08000006,LA,355,Salford,407,253,13,5,16,10,x,4,63,x,398,358,393,98,88,97,52,50,96,318,305,96,174,30,101,57,10,33,13.4
33,E08000007,LA,356,Stockport,230,145,12,8,22,13,9,10,59,41,209,201,198,91,87,86,40,38,95,171,153,89,75,23,55,49,15,36,14
34,E08000008,LA,357,Tameside,409,267,22,8,x,0,0,x,0,0,265,374,394,65,91,96,49,33,67,309,293,95,181,36,76,62,12,26,12.1
35,E08000009,LA,358,Trafford,302,198,8,4,0,0,0,0,.,.,277,278,286,92,92,95,38,36,95,232,223,96,135,26,62,61,12,28,12.1
37,E08000010,LA,359,Wigan,333,241,10,4,14,x,x,4,x,x,328,314,329,98,94,99,28,28,100,268,258,96,119,34,105,46,13,41,14.1
40,E08000016,LA,370,Barnsley,204,127,x,x,6,x,0,3,x,0,200,203,200,98,100,98,25,25,100,164,101,62,49,14,38,49,14,38,14.4
43,E08000017,LA,371,Doncaster,375,276,11,4,28,7,19,7,25,68,368,319,335,98,85,89,30,30,100,287,265,92,119,28,118,45,11,45,14.9
51,E08000018,LA,372,Rotherham,359,251,18,7,25,11,13,7,44,52,344,255,292,96,71,81,35,34,97,274,238,87,102,30,106,43,13,45,14.6
52,E08000019,LA,373,Sheffield,404,304,16,5,27,21,6,7,78,22,323,342,386,80,85,96,31,31,100,313,195,62,94,16,85,48,8,44,15.1
41,E08000032,LA,380,Bradford,751,478,25,5,x,0,x,x,0,x,722,691,696,96,92,93,122,121,99,549,248,45,133,24,91,54,10,37,13.8
42,E08000033,LA,381,Calderdale,236,165,x,x,7,x,x,3,x,x,229,210,218,97,89,92,31,29,94,178,159,89,69,22,68,43,14,43,15.3
46,E08000034,LA,382,Kirklees,506,328,24,7,19,7,9,4,37,47,504,505,495,100,100,98,60,51,85,384,341,89,165,51,125,48,15,37,14.2
47,E08000035,LA,383,Leeds,949,654,32,5,12,6,6,1,50,50,780,836,914,82,88,96,102,100,98,741,557,75,247,63,247,44,11,44,15.2
53,E08000036,LA,384,Wakefield,404,233,0,0,0,0,0,0,.,.,23,214,404,6,53,100,80,77,96,275,154,56,68,13,73,44,8,47,15.5
5,E08000037,LA,390,Gateshead,269,182,8,4,9,x,x,3,x,x,253,262,265,94,97,99,30,30,100,211,159,75,63,18,78,40,11,49,15.7
8,E08000021,LA,391,Newcastle upon Tyne,363,267,15,6,8,x,x,2,x,x,341,318,341,94,88,94,37,36,97,264,201,76,91,15,95,45,7,47,14.9
