time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Section47,Section47_rate,Section47_child,Section47_child_rate,ICPC,ICPC_rate,ICPC_child,ICPC_child_rate,Duration_0-10_days,Duration_11-15_days,Duration_16-20_days,Duration_21+_days,Duration_25th_Percentile,Duration_median,Duration_75th_Percentile
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Section 47s and Initial Child Protection Conferences,2653,155.5,2431,142.5,895,52.5,886,51.9,69,436,121,269,13,15,22
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Section 47s and Initial Child Protection Conferences,1180,342.4,1026,297.7,344,99.8,344,99.8,30,283,14,17,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Section 47s and Initial Child Protection Conferences,682,191.2,605,169.6,155,43.4,155,43.4,44,111,0,0,10,12,13
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,Section 47s and Initial Child Protection Conferences,1020,86.7,965,82,570,48.4,569,48.4,51,501,12,6,12,14,15
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Section 47s and Initial Child Protection Conferences,1641,285.6,1371,238.6,647,112.6,644,112.1,31,428,72,116,13,15,18
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Section 47s and Initial Child Protection Conferences,2604,219.9,2235,188.8,1023,86.4,1002,84.6,60,761,103,99,14,15,15
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Section 47s and Initial Child Protection Conferences,1681,224.2,1458,194.4,567,75.6,567,75.6,31,443,43,50,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Section 47s and Initial Child Protection Conferences,533,145.6,490,133.9,240,65.6,240,65.6,c,191,25,c,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Section 47s and Initial Child Protection Conferences,1534,257,1296,217.1,565,94.7,563,94.3,18,391,74,82,14,15,16
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Section 47s and Initial Child Protection Conferences,2630,169.9,2266,146.4,1038,67.1,1028,66.4,80,839,57,62,13,14,14
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Section 47s and Initial Child Protection Conferences,1270,151.1,1025,121.9,539,64.1,539,64.1,12,403,98,26,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Section 47s and Initial Child Protection Conferences,1649,115,1409,98.3,799,55.7,794,55.4,29,631,27,112,13,14,14
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Section 47s and Initial Child Protection Conferences,1397,94.8,1271,86.3,471,32,467,31.7,64,386,c,c,12,14,15
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Section 47s and Initial Child Protection Conferences,1137,x,1040,x,484,x,479,x,61,327,31,65,12,13,15
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Section 47s and Initial Child Protection Conferences,1652,238.4,1386,200,733,105.8,723,104.4,46,529,77,81,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Section 47s and Initial Child Protection Conferences,3223,191.3,2781,165.1,1030,61.1,1018,60.4,185,763,42,40,11,13,14
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Section 47s and Initial Child Protection Conferences,35,44.6,34,43.3,18,22.9,18,22.9,0,18,0,0,13,14,14
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Section 47s and Initial Child Protection Conferences,1327,x,1195,x,570,x,554,x,91,383,36,60,12,14,15
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Section 47s and Initial Child Protection Conferences,5662,197.6,5162,180.2,1728,60.3,1693,59.1,98,1324,110,196,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Section 47s and Initial Child Protection Conferences,2099,259.8,1784,220.8,619,76.6,611,75.6,34,515,30,40,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Section 47s and Initial Child Protection Conferences,1185,170.3,1037,149,445,63.9,439,63.1,67,276,34,68,12,14,15
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Section 47s and Initial Child Protection Conferences,1025,284.5,914,253.7,454,126,441,122.4,102,178,54,120,11,13,22
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Section 47s and Initial Child Protection Conferences,1865,224.7,1710,206,554,66.8,547,65.9,8,447,49,50,14,15,15
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Section 47s and Initial Child Protection Conferences,1146,190.1,953,158.1,313,51.9,310,51.4,15,258,21,19,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Section 47s and Initial Child Protection Conferences,1121,233.8,957,199.6,252,52.6,247,51.5,39,164,18,31,12,14,14
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Section 47s and Initial Child Protection Conferences,1898,110.8,1692,98.8,829,48.4,819,47.8,76,645,78,30,12,14,15
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Section 47s and Initial Child Protection Conferences,2199,377.2,1787,306.5,666,114.2,659,113,56,526,28,56,12,13,14
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Section 47s and Initial Child Protection Conferences,797,191.4,683,164,278,66.8,269,64.6,c,239,0,c,12,13,14
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Section 47s and Initial Child Protection Conferences,1121,161.6,970,139.8,414,59.7,403,58.1,96,253,39,26,11,14,15
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Section 47s and Initial Child Protection Conferences,1768,148.4,1534,128.7,576,48.3,567,47.6,30,345,107,94,13,14,18
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Section 47s and Initial Child Protection Conferences,1112,176.4,977,155,304,48.2,301,47.7,36,159,40,69,12,15,20
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Section 47s and Initial Child Protection Conferences,2603,218.1,2099,175.9,734,61.5,718,60.2,51,616,32,35,13,14,15
