time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Assessments_completed,Assessments_completed_rate,Same_day,1-10_days,11-20_days,21-30_days,31-40_days,41-45_days,46-50_days,51-60_days,61+_days,25th_Percentile_days,Median_days,75th_Percentile_days
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Duration of assessment,9756,579.1,11,2400,4806,1399,653,206,104,100,77,11,14,21
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Duration of assessment,300,382.2,0,16,30,43,55,140,9,c,c,28,41,44
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Duration of assessment,12552,438.1,236,2424,3352,2257,1935,834,449,439,626,12,21,36
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Duration of assessment,5020,621.2,6,192,323,655,1451,1881,321,130,61,31,40,44
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Duration of assessment,4113,591,24,394,617,501,598,1054,286,273,366,20,40,45
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Duration of assessment,1348,374.1,12,100,182,252,318,240,101,62,81,22,35,44
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Duration of assessment,5966,718.8,19,279,850,748,1612,1685,413,235,125,26,37,45
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Duration of assessment,3756,623,170,1488,549,314,363,485,116,84,187,4,13,39
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Duration of assessment,2153,449.1,86,192,364,294,388,355,149,149,176,18,35,45
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Duration of assessment,8384,489.5,298,2263,914,1091,1221,1628,338,252,379,6,26,42
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Duration of assessment,6330,1085.7,33,465,781,1023,1531,1868,417,159,53,25,36,44
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Duration of assessment,1971,473.3,14,157,262,742,431,113,98,76,78,23,28,36
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Duration of assessment,3412,491.8,41,802,1166,553,392,146,109,102,101,11,18,30
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Duration of assessment,6213,521.4,14,517,703,891,1449,758,622,584,675,24,38,48
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Duration of assessment,3882,615.7,296,1950,597,325,246,134,93,78,163,2,8,22
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Duration of assessment,6518,546.1,291,1947,1101,768,1212,680,210,146,163,7,20,36
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Duration of assessment,1691,410.7,82,432,186,208,470,191,53,30,39,6,26,39
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Duration of assessment,4142,301.1,58,431,1010,875,1082,301,159,87,139,16,27,37
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Duration of assessment,1900,291.4,13,270,372,402,357,438,36,c,c,15,28,41
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Duration of assessment,7460,235.3,67,723,1487,1670,1754,1192,196,141,228,19,29,40
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Duration of assessment,5034,183.3,112,453,678,682,2825,74,41,51,118,21,33,35
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Duration of assessment,3739,643.8,40,388,842,803,826,291,196,208,145,17,28,39
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Duration of assessment,5853,339.9,25,369,422,814,2310,1231,286,230,166,29,36,43
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Duration of assessment,2013,383.2,37,158,354,351,514,339,123,79,58,19,33,41
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Duration of assessment,2125,534.8,c,199,310,615,890,25,25,c,35,21,30,36
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Duration of assessment,6304,412.4,22,387,844,1351,1569,1158,547,269,157,23,34,43
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Duration of assessment,4209,927.5,72,1091,657,501,1475,214,66,80,53,9,27,35
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Duration of assessment,1613,559.4,26,301,593,332,187,68,28,54,24,11,18,29
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Duration of assessment,2146,426.4,85,268,238,541,605,225,104,34,46,18,30,38
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Duration of assessment,8277,652.7,135,1742,1079,1578,1881,539,407,507,409,12,29,39
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Duration of assessment,3184,298.8,13,266,436,454,577,340,330,348,420,22,38,50
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Duration of assessment,22008,770.6,313,6282,11661,1405,858,589,264,247,389,9,13,16
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Duration of assessment,3463,1403.6,117,985,1368,256,235,387,54,21,40,8,14,25
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Duration of assessment,18350,529.5,154,1205,2302,4489,4606,3645,1135,482,332,23,33,42
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Duration of assessment,3294,503.4,15,103,649,1080,815,497,55,36,44,21,28,39
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Duration of assessment,3518,507.6,33,681,981,811,564,134,93,88,133,12,21,33
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Duration of assessment,5937,400.9,30,367,615,822,1133,1141,655,637,537,26,41,48
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Duration of assessment,2624,599.7,85,997,669,458,206,163,27,10,9,8,14,24
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Duration of assessment,2186,586.8,c,188,367,362,537,341,192,133,c,20,34,43
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Duration of assessment,3775,864.8,c,c,604,1034,952,356,311,180,212,22,31,42
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Duration of assessment,3481,671.9,34,386,921,617,670,353,101,145,254,16,27,40
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Duration of assessment,11079,418,104,625,2134,2905,2273,1733,668,385,252,20,30,42
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Duration of assessment,1826,513.7,12,419,341,302,432,312,c,c,0,11,26,38
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Duration of assessment,10238,577.2,99,1041,1732,1953,2080,2209,642,313,169,19,32,43
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Duration of assessment,1410,406.6,30,171,379,299,345,145,20,7,14,14,24,35
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Duration of assessment,1410,341.6,11,74,147,369,205,237,100,103,164,24,36,46
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Duration of assessment,1052,286.8,14,99,208,246,141,65,30,101,148,18,29,47
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Duration of assessment,4021,526.6,6,262,1051,947,688,288,259,229,291,18,27,42
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Duration of assessment,2897,306.9,45,353,612,515,437,587,128,135,85,15,28,43
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Duration of assessment,5597,513.7,29,679,767,993,1849,915,212,113,40,19,33,40
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Duration of assessment,4152,280.4,134,808,783,821,724,347,164,164,207,12,25,38
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Duration of assessment,3236,478,28,471,843,626,573,252,106,180,157,14,25,39
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Duration of assessment,7217,557,20,448,990,1313,1582,1716,650,277,221,24,37,44
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Duration of assessment,21,619.5,0,c,c,c,c,c,c,0,c,16,28,41
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Duration of assessment,711,162.3,15,29,117,193,162,144,22,11,18,21,31,41
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Duration of assessment,3783,709.9,146,563,401,1500,436,573,47,58,59,16,30,35
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Duration of assessment,3368,302.6,211,148,413,632,714,691,161,207,191,22,35,44
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Duration of assessment,2434,406.2,150,380,385,370,377,168,109,134,361,12,29,45
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Duration of assessment,1932,380.7,44,366,903,373,183,34,11,9,9,12,16,24
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Duration of assessment,2162,848.4,22,179,411,424,386,308,98,107,227,19,32,45
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Duration of assessment,3869,364.1,23,535,767,878,638,637,222,84,85,15,26,41
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Duration of assessment,1415,261.6,0,15,94,390,766,61,22,25,42,29,32,35
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Duration of assessment,44,241.1,0,8,c,17,7,c,7,c,0,23,29,36
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Duration of assessment,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Duration of assessment,1382,372.4,22,71,72,168,621,373,7,8,40,31,37,42
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Duration of assessment,2563,431.1,146,277,344,418,602,633,121,14,8,17,33,42
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Duration of assessment,2307,533.6,52,250,308,558,645,373,66,30,25,20,30,39
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Duration of assessment,1035,355.6,8,358,137,48,131,206,69,44,34,10,25,43
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Duration of assessment,2728,442.6,106,377,615,546,634,374,24,20,32,15,24,37
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Duration of assessment,3689,540.3,182,276,970,601,785,502,120,85,168,17,27,39
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Duration of assessment,4147,479.3,8,207,328,508,708,1681,423,170,114,30,43,45
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Duration of assessment,3299,500.6,0,55,369,553,814,1250,123,61,74,29,39,44
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Duration of assessment,5153,695.9,29,345,749,1098,1877,493,179,157,226,22,33,39
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Duration of assessment,2895,445.5,c,219,545,595,652,399,235,138,c,20,32,43
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Duration of assessment,1589,313.4,41,160,310,350,470,137,54,41,26,17,28,36
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Duration of assessment,4017,626.8,35,332,586,1013,1379,287,85,133,167,21,31,40
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Duration of assessment,2643,279.1,41,391,348,630,614,239,92,110,178,17,29,40
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Duration of assessment,3350,583.4,7,192,443,545,1333,636,86,56,52,25,35,40
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Duration of assessment,3304,424.2,c,c,321,573,991,860,163,192,136,29,39,43
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Duration of assessment,3373,447,15,118,337,771,946,675,269,180,62,27,36,44
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Duration of assessment,4187,439.3,66,128,499,1047,946,690,353,281,177,23,35,44
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Duration of assessment,3901,474.5,20,134,399,517,754,1137,571,268,101,29,41,45
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Duration of assessment,4090,484.7,82,427,864,1464,787,236,113,67,50,18,26,32
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Duration of assessment,2944,423.6,22,70,241,427,855,1264,30,22,13,30,39,44
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Duration of assessment,2568,428.2,0,877,513,391,560,144,62,9,12,7,18,33
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Duration of assessment,3042,515.4,26,193,441,980,771,241,142,119,129,22,29,38
