time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_phase,revenue_state,number_schools,PercSchools,total_revenue_balance,average_revenue_balance,B01,B02,B06,total_income,perc_BalanceofIncome,NumOverThresh,PercOverThresh,ValueOverThresh,AveValueOverThresh
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Special,Surplus,114,91.2,24.235587,0.212593,7937661.766718,16230542.767520,67382.720627,292.569874,8.2837,60,48.0,6.4181,106969
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Special,Total,125,100.0,20.780990,0.166248,7937661.766718,12775945.265567,67382.720627,315.356106,6.5897,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Total,Deficit,296,11.9,-53.914634,-0.182144,10338.600098,-54606786.410400,681814.201978,516.156211,-10.4454,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Total,Surplus,2177,87.7,257.934137,0.118481,94328021.399251,159951962.961211,3654152.817720,3663.361429,7.0409,912,36.7,60.3748,66200
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Total,Total,2482,100.0,204.019503,0.082200,94338376.979348,105345176.550811,4335950.039698,4184.325277,4.8758,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Nursery,Deficit,2,7.4,-0.081323,-0.040662,0.000000,-102772.712891,21449.519531,0.919106,-8.8481,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Nursery,Surplus,25,92.6,2.695793,0.107832,1207417.382813,2799746.422913,-1311371.131348,16.083246,16.7615,18,66.7,1.4959,83103
201920,Financial year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Nursery,Total,27,100.0,2.614469,0.096832,1207417.382813,2696973.710022,-1289921.611816,17.002352,15.3771,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Primary,Deficit,115,10.7,-5.834272,-0.050733,62080.130000,-6163162.393250,266810.688110,127.312458,-4.5826,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Primary,Surplus,955,89.2,94.798483,0.099265,60039669.987213,31556679.385614,3202133.714672,1255.429510,7.5511,385,35.9,24.4350,63467
201920,Financial year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Primary,Total,1071,100.0,88.964212,0.083066,60101750.117213,25393516.992365,3468944.402782,1384.151150,6.4273,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Pupil referral unit,Deficit,8,36.4,-1.721171,-0.215146,28433.000000,-1749603.556885,0.000000,16.811611,-10.2380,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Pupil referral unit,Surplus,11,50.0,1.800412,0.163674,176485.552734,1623926.197266,0.000000,14.494241,12.4216,6,27.3,0.9486,158107
201920,Financial year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Pupil referral unit,Total,22,100.0,0.079241,0.003602,204918.552734,-125677.359619,0.000000,33.096876,0.2394,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Secondary,Deficit,23,32.9,-14.045364,-0.610668,0.000000,-14158851.729248,113487.938711,139.636232,-10.0585,:,:,:,:
