time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,ReportGroup,Description,school_expenditure,OtherEdComm,cyps_spend,NetExpend,NetExpendpPupil,GrossExpend,GrossExpendpPupil
201415,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire East,895,E06000049,Yearly totals,Yearly totals,165.882,17.8521,49.879,134.70397,4465.79,145.00039,4800.24
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire West and Chester,896,E06000050,Yearly totals,Yearly totals,209.257,16.5533,56.4054,196.44814,5531.34,212.48680,5980.28
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire West and Chester,896,E06000050,Yearly totals,Yearly totals,204.533,15.7748,51.6154,188.33123,5241.71,204.81310,5700.49
201718,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire West and Chester,896,E06000050,Yearly totals,Yearly totals,208.516,15.8886,50.5769,189.25001,5206.82,201.13924,5534.89
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire West and Chester,896,E06000050,Yearly totals,Yearly totals,208.32,15.8891,47.9244,192.41398,5222.96,203.11373,5513.40
201516,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire West and Chester,896,E06000050,Yearly totals,Yearly totals,207.257,18.1885,48.9616,186.40712,5126.77,195.89813,5388.86
201415,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire West and Chester,896,E06000050,Yearly totals,Yearly totals,199.862,22.1618,48.2353,182.07688,5056.14,191.98823,5329.74
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,Yearly totals,Yearly totals,179.321,17.5513,61.7781,156.73502,5173.20,168.05765,5546.68
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,Yearly totals,Yearly totals,175.381,18.2954,55.1832,155.11710,4983.42,165.84146,5331.51
201718,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,Yearly totals,Yearly totals,180.711,16.759,50.3876,164.88961,4985.64,176.73036,5343.32
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,Yearly totals,Yearly totals,198.492,18.9785,47.0858,189.64989,5061.59,201.78576,5388.78
201516,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,Yearly totals,Yearly totals,212.52,15.4179,45.2614,208.55766,5284.76,220.75548,5595.67
201415,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,Yearly totals,Yearly totals,207.951,19.896,44.524,204.02918,5144.33,216.13732,5449.62
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,Yearly totals,Yearly totals,141.228,6.45351,33.0532,119.09242,5443.61,125.63381,5737.21
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,Yearly totals,Yearly totals,149.824,7.49489,31.2462,131.82609,5392.68,138.08073,5652.26
201718,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,Yearly totals,Yearly totals,148.742,7.26185,28.4798,132.38037,5192.87,138.46290,5430.06
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,Yearly totals,Yearly totals,148.753,7.80072,28.2062,139.67367,5171.08,144.88252,5367.40
201516,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,Yearly totals,Yearly totals,147.2,7.24172,27.7275,137.38291,5155.56,141.67611,5316.68
201415,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,Yearly totals,Yearly totals,141.633,8.17436,29.2309,134.78069,5027.78,138.70789,5174.22
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,Yearly totals,Yearly totals,316.303,45.4672,138.179,287.68027,6305.09,303.81187,6652.99
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,Yearly totals,Yearly totals,318.142,43.9536,131.79,285.20205,6090.72,301.11669,6431.82
201718,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,Yearly totals,Yearly totals,318.864,35.3747,134.875,286.50855,5981.32,302.21049,6309.49
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,Yearly totals,Yearly totals,313.269,34.2754,124.571,292.67423,5896.97,309.98467,6244.74
201516,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,Yearly totals,Yearly totals,316.492,35.1252,115.274,298.61257,5815.13,315.20319,6138.94
201415,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,Yearly totals,Yearly totals,326.626,38.3029,114.881,302.77278,5760.82,320.71144,6106.06
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,Yearly totals,Yearly totals,146.561,10.8295,52.2106,122.24027,5351.85,130.00034,5693.79
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,Yearly totals,Yearly totals,150.919,9.86733,51.4014,122.94844,5117.92,131.32558,5455.78
201718,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,Yearly totals,Yearly totals,155.527,4.30242,39.8569,132.93722,5034.12,138.69230,5243.71
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,Yearly totals,Yearly totals,159.858,9.08179,33.4709,142.15811,5017.54,148.60494,5250.39
201516,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,Yearly totals,Yearly totals,159.883,9.50077,35.6451,145.19415,5104.71,151.15066,5316.60
201415,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,Yearly totals,Yearly totals,164.834,9.18553,35.8023,149.90469,5103.87,155.72258,5306.60
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Rochdale,354,E08000005,Yearly totals,Yearly totals,174.33,8.54163,52.2777,164.64567,5576.48,173.11182,5863.23
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Rochdale,354,E08000005,Yearly totals,Yearly totals,169.049,7.66201,48.8004,158.24919,5390.14,167.06314,5690.36
