Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"National - Regional - LA - OAs",
"W06000021",2468,,2403,,2317,,2330,,2263,,2575,,3339,,2874,,
"W06000022",7910,,7561,,7596,,7926,,7948,,8640,,11183,,9479,,
"S12000033",3882,,4358,,5265,,6024,,6041,,6172,,5405,,6818,,
"S12000034",4528,,5016,,5737,,6194,,5896,,6288,,5551,,7082,,
"S12000041",3191,,3176,,3751,,4086,,4051,,4138,,3512,,4597,,
"S12000035",2231,,2247,,2407,,2672,,2536,,2620,,2073,,2675,,
"S12000036",9370,,9478,,10887,,11986,,11473,,11992,,10829,,13803,,
"S12000005",1814,,1868,,2102,,2335,,2212,,2426,,1934,,2699,,
"S12000006",4818,,4870,,5296,,5831,,5691,,6147,,5038,,6548,,
"S12000042",4881,,4828,,5801,,6272,,6061,,6250,,5126,,6939,,
"S12000008",4642,,4747,,5245,,5676,,5665,,5832,,4944,,6308,,
"S12000045",1936,,2013,,2281,,2350,,2249,,2453,,1973,,2642,,
"S12000010",2925,,2939,,3283,,3455,,3272,,3590,,2948,,3868,,
"S12000011",1975,,2043,,2152,,2393,,2383,,2508,,2187,,2645,,
"S12000014",5109,,5007,,5579,,5999,,6103,,6334,,5322,,7122,,
"S12000047",12576,,12843,,14029,,15440,,15504,,16239,,13313,,17597,,
"S12000049",25143,,26033,,29202,,34039,,34134,,35255,,29924,,37973,,
"S12000017",6561,,6749,,7319,,7502,,7412,,7962,,6969,,8658,,
"S12000018",2327,,2450,,2591,,2706,,2735,,2715,,2165,,3191,,
"S12000019",2563,,2499,,2826,,3113,,3021,,3215,,2864,,3807,,
"S12000020",2603,,2611,,3066,,3129,,3060,,3229,,3003,,3818,,
