Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"
"Age of Child (years and bands)","5-10"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"National - Regional - LA - OAs",
"S12000050",3595,,3809,,4357,,4948,,4833,,4906,,4191,,5449,,
"S12000023",144,,157,,179,,177,,194,,202,,189,,213,,
"S12000048",990,,1043,,1220,,1406,,1397,,1461,,1190,,1637,,
"S12000038",1187,,1295,,1557,,1902,,1857,,1960,,1631,,2210,,
"S12000026",816,,912,,1006,,1138,,1138,,1264,,1012,,1433,,
"S12000027",102,,119,,154,,163,,125,,149,,211,,181,,
"S12000028",920,,926,,1100,,1210,,1184,,1194,,1034,,1379,,
"S12000029",2687,,2639,,2983,,3401,,3301,,3524,,2950,,3925,,
"S12000030",641,,625,,713,,769,,770,,865,,719,,944,,
"S12000039",915,,891,,1081,,1280,,1240,,1242,,994,,1378,,
"S12000040",1640,,1671,,1927,,2192,,2251,,2341,,1998,,2632,,
"N09000001",1573,,1640,,1735,,1620,,1751,,1696,,1940,,1619,,
"N09000011",1683,,1853,,1844,,1664,,1752,,1791,,1970,,1631,,
"N09000002",3158,,3364,,3343,,3090,,3276,,3425,,3870,,3405,,
"N09000003",5149,,5935,,6145,,5628,,6040,,5441,,5397,,5076,,
"N09000004",2323,,2290,,2345,,2113,,2065,,2106,,2339,,2024,,
"N09000005",3050,,3199,,3249,,2986,,2943,,2639,,2674,,2437,,
"N09000006",1845,,1825,,1840,,1644,,1764,,1874,,2016,,1799,,
"N09000007",1285,,1319,,1324,,1290,,1360,,1434,,1589,,1366,,
"N09000008",1589,,1689,,1677,,1530,,1631,,1715,,1874,,1599,,
"N09000009",2243,,2319,,2216,,1950,,2040,,2258,,2596,,2232,,
"N09000010",3050,,3194,,3187,,3040,,3167,,3294,,3580,,3297,,
"ZZXXXXXXX",..,,..,,..,,..,,..,,..,,..,,..,,
"Total",651952,,701326,,756489,,826837,,842417,,898009,,880107,,918384,,


"INFO","Statistical disclosure control has been applied to this table to avoid the release of confidential data.  Totals may not sum due to the disclosure control applied."


Symbol,Description
"I",""".."" denotes a nil or negligible number of children."
"II","Relative low-income is defined as a family whose equivalised income is below 60 per cent of contemporary median income. Gross income measure is Before Housing Costs (BHC) and includes contributions from earnings, state support and pensions."
"III","Income is equivalised to adjust for household size and family composition."
"IV","Child age is derived as the duration from Date of Birth to 31 March in each year. A child is defined as an individual aged under 16 or 16-19 and they are not married, in a civil partnership nor living with a partner; and are still living with parents/a responsible adult; and are in full-time non-advanced education or in unwaged government training."
"V","Families “in-work” are those to have had an accumulated period of at least 26 weeks paid employment or self-employment within the 52 week tax year. Employment activity is accumulated from either (or both) the adult claimant of Child Benefit and any partner(s) in the tax year."
"VI","Only families to have claimed Child Benefit and at least one other household benefit (Universal Credit, Tax Credit or Housing Benefit) will be included in the statistics."
"p","Figures marked ""p"" are provisional. These figures will be subject to revision in subsequent releases."


Source: Department for Work and Pensions
