Stat-Xplore

"Population Estimates"
"National - Regional - LAs by Year by Age"
"Counting: Population"

Filters:
"Default Summation","Population"
"Age","0-4"

"Year","Mid-2008","Mid-2009","Mid-2010","Mid-2011","Mid-2012","Mid-2013","Mid-2014","Mid-2015","Mid-2016","Mid-2017","Mid-2018","Mid-2019","Mid-2020",
"National - Regional - LAs",
"Hertsmere",6413,6500,6624,6712,6922,6838,6921,6946,6916,6811,6755,6725,6632,
"North Hertfordshire",7648,7668,7864,8105,8340,8467,8522,8366,8423,8215,8009,7820,7711,
"St Albans",9520,9831,10078,10342,10539,10459,10432,10317,10071,9701,9507,9336,9162,
"Stevenage",5372,5466,5747,5970,6054,6071,6115,6053,6002,5944,5891,5822,5744,
"Three Rivers",5198,5273,5394,5478,5631,5662,5723,5790,5680,5580,5430,5327,5264,
"Watford",5873,6136,6430,6836,7082,7338,7479,7424,7344,7187,7108,6895,6830,
"Welwyn Hatfield",6375,6607,6711,6760,6995,7046,7332,7382,7491,7344,7253,7003,6923,
"Breckland",6790,6955,7197,7428,7553,7583,7655,7605,7597,7640,7491,7331,7124,
"Broadland",5868,5940,5985,6024,6005,6025,5923,6045,6112,6096,5943,6009,5976,
"Great Yarmouth",5180,5200,5439,5562,5677,5622,5665,5552,5584,5537,5447,5380,5186,
"King's Lynn and West Norfolk",7651,7731,7850,7957,8169,8278,8390,8612,8587,8414,8188,8008,7607,
"North Norfolk",4112,4168,4235,4367,4424,4364,4419,4360,4228,4114,4132,3963,3805,
"Norwich",7642,8062,8134,8396,8667,8712,8702,8653,8596,8216,7877,7570,7385,
"South Norfolk",5861,6124,6538,6846,6974,7096,7142,7092,7035,7132,7178,7279,7118,
"Babergh",4580,4500,4376,4444,4412,4299,4339,4322,4272,4218,4217,4152,4140,
"East Suffolk",12108,12137,12335,12484,12436,12257,12160,12047,11879,11663,11612,11379,11083,
"Ipswich",8262,8667,9024,9280,9593,9555,9595,9563,9637,9479,9296,9109,8902,
"Mid Suffolk",5159,5109,5150,5237,5163,5106,5052,4939,4756,4718,4597,4510,4490,
"West Suffolk",10210,10296,10529,10920,11018,10904,11317,11457,11222,11363,10902,10953,10468,
"Camden",12953,12901,13020,13161,13822,14137,14289,14523,14358,14056,14039,14108,14174,
"City of London",218,210,227,233,275,287,333,378,363,381,435,462,474,
"Hackney",18917,19112,19339,19055,19615,20092,20450,20624,20880,20689,20326,20239,19708,
"Hammersmith and Fulham",11109,11504,11721,11853,11910,11941,11840,11592,11521,11389,11404,11161,10930,
"Haringey",18528,18599,18513,18019,18330,18462,18793,18919,19247,18993,18586,17953,17426,
"Islington",11704,11997,12312,12298,12681,12987,13161,13404,13318,13265,13127,12944,12953,
"Kensington and Chelsea",9246,9417,9486,9138,9111,9083,8973,8961,8711,8351,8223,8243,8064,
"Lambeth",20165,20386,20796,20666,21040,20943,20688,20525,20380,19740,19213,18526,17904,
"Lewisham",20394,21281,21862,22062,22412,22686,22942,22841,22746,22356,21814,21515,20877,
"Newham",25205,25689,25737,25559,26788,27519,28304,29005,29546,28678,28254,27217,26893,
"Southwark",20116,20586,20496,20913,21477,21800,21745,21817,21591,21085,20500,19976,19471,
"Tower Hamlets",17744,18304,18952,18826,19902,21194,21760,22136,22293,22170,22208,21978,21883,
"Wandsworth",19651,20598,21284,21761,22197,22739,23067,22975,22713,22345,21875,21585,20980,
"Westminster",11671,11997,12423,12732,13457,13747,13772,13920,13676,13273,13692,13543,13634,
"Barking and Dagenham",16083,17409,18265,18697,19157,19567,19598,19599,20015,19887,19519,19097,18910,
"Barnet",23890,24749,25669,26264,27228,27228,27445,27167,27137,26621,26512,26258,26103,
"Bexley",14342,14630,15051,15277,15671,15671,16043,16192,16219,15904,15989,15785,15633,
"Brent",21060,21766,22230,22569,23195,23662,24254,24630,25169,24981,24582,24046,23790,
"Bromley",19089,19512,20026,20189,20768,21065,21463,21450,21710,21492,21559,21068,20708,
"Croydon",24872,25603,26716,28066,28605,28635,28673,28601,28652,28390,27974,27681,27372,
"Ealing",23553,24562,25154,25544,26174,26379,26578,26655,26303,25523,24600,24304,23652,
"Enfield",22600,23440,24204,24664,25043,25053,25233,25513,25108,24650,24321,23867,23300,
"Greenwich",19145,20185,20795,21095,21541,21790,21873,22285,22493,22375,21953,21499,21016,
"Harrow",15053,15459,15865,15993,16594,17026,17475,17570,17935,17713,17745,17842,17832,
"Havering",13059,13476,13689,13810,14330,14813,15571,16184,17035,17224,17370,17367,17167,
"Hillingdon",18265,19130,19615,19969,20997,21623,22202,22659,23005,22647,22489,22102,21569,
"Hounslow",17956,18678,19308,19842,20795,21060,21263,21417,21328,20738,20363,19922,19526,
"Kingston upon Thames",10113,10447,10687,11094,11495,11628,11738,11875,11698,11504,11291,11065,10700,
"Merton",13906,14409,14801,15004,15530,15844,16001,16040,15978,15363,14994,14660,14413,
"Redbridge",19597,20256,21097,21829,22287,22633,22915,23115,23130,22885,22744,22507,22342,
"Richmond upon Thames",12682,13122,13680,14083,14477,14510,14438,13828,13487,12982,12624,12401,11800,
"Sutton",11850,12425,12691,12870,13434,13706,13910,14187,14205,13923,13754,13519,13266,
"Waltham Forest",19453,20155,20617,20944,21558,21878,21858,22137,22452,22175,21802,21564,21329,
"Bracknell Forest",7310,7579,7808,8078,8192,8251,8151,8022,7739,7455,7417,7267,7291,
"Brighton and Hove",14495,14816,15013,15092,15270,15272,15053,14926,14739,14156,13768,13331,12987,
"Buckinghamshire",30564,30879,31266,31918,32683,32800,32774,33302,33200,32610,32404,32239,31715,
"Isle of Wight",6390,6408,6503,6422,6553,6614,6743,6805,6723,6613,6462,6220,5891,
"Medway",16404,16684,17037,17284,17829,18028,18353,18551,18723,18566,18494,18326,18085,
"Milton Keynes",17310,18148,19171,19976,20275,20479,20520,20354,20126,19374,19048,18676,18180,
"Portsmouth",11931,12388,13004,13588,13565,13622,13639,13580,13388,13125,12735,12212,11839,
"Reading",10387,11024,11589,11976,12282,12387,12553,12468,12250,12133,11632,11289,11096,
"Slough",11030,11699,12413,12872,13096,13170,13260,13198,13222,13021,12827,12654,12415,
"Southampton",13666,14302,14852,15515,15871,16159,16250,16444,16367,16032,15766,15396,14941,
"West Berkshire",9545,9692,9902,10098,10144,10014,9818,9684,9498,9145,8980,8801,8559,
"Windsor and Maidenhead",8649,8837,9284,9331,9436,9311,9259,8985,8958,8743,8678,8615,8383,
"Wokingham",9560,9673,9864,10078,10256,10370,10299,10172,10128,9951,9822,9901,9912,
"Eastbourne",5145,5131,5269,5347,5502,5706,5765,5877,5834,5673,5431,5274,5017,
"Hastings",5282,5454,5560,5570,5662,5746,5791,5756,5732,5626,5438,5269,5171,
"Lewes",4709,4778,4982,5062,5217,5251,5134,5051,4922,4833,4868,4745,4602,
"Rother",3824,3839,3974,4050,4084,4064,4050,4068,3913,3873,3806,3833,3776,
"Wealden",7302,7253,7352,7529,7650,7497,7552,7611,7517,7488,7563,7470,7368,
"Basingstoke and Deane",10189,10568,11035,11428,11821,11829,11945,11854,11515,11192,10860,10559,10583,
"East Hampshire",6121,6206,6158,6195,6289,6249,6307,6232,6179,6012,5964,5934,5982,
"Eastleigh",6990,7200,7616,7848,7983,7989,8026,7819,7601,7500,7502,7481,7488,
"Fareham",5525,5499,5503,5591,5770,5794,5780,5775,5724,5663,5564,5407,5257,
"Gosport",5169,5209,5324,5380,5366,5259,5168,4967,4958,4870,4682,4530,4448,
"Hart",5652,5677,5677,5687,5741,5696,5689,5641,5535,5399,5442,5403,5239,
"Havant",6375,6489,6654,6702,6807,6777,6758,6681,6639,6741,6659,6562,6400,
"New Forest",8092,8232,8403,8594,8759,8790,8673,8506,8224,8026,7816,7732,7471,
"Rushmoor",6372,6360,6592,6706,6726,6787,6758,6749,6833,6641,6486,6409,6237,
"Test Valley",6500,6540,6605,6712,6811,6901,6829,6969,7117,7185,7106,7071,7047,
"Winchester",6399,6481,6562,6575,6650,6559,6579,6587,6570,6430,6307,6157,6041,
"Ashford",7313,7384,7618,7746,7853,7951,7868,7949,8067,8085,8077,7924,7790,
"Canterbury",7269,7321,7341,7523,7684,7609,7657,7625,7564,7409,7428,7232,7155,
"Dartford",6230,6410,6554,6784,7125,7254,7458,7571,7597,7819,8079,8349,8432,
"Dover",5891,6021,6171,6239,6219,6215,6109,6123,6099,6097,6015,5934,5834,
"Folkestone and Hythe",5601,5722,5901,5976,6030,5965,5895,5764,5766,5633,5575,5378,5306,
"Gravesham",6301,6462,6718,6663,6882,6996,7239,7292,7292,7145,7159,7055,6926,
"Maidstone",8823,8977,9280,9664,9851,10054,10121,10387,10293,10583,10707,10694,10473,
"Sevenoaks",6801,6831,6951,7044,7203,7267,7332,7291,7191,6920,6913,6978,6811,
"Swale",8122,8351,8694,8767,8914,9059,9152,9096,9227,9226,9188,9188,9162,
"Thanet",7437,7725,7994,8133,8342,8364,8383,8425,8445,8240,8114,7877,7648,
"Tonbridge and Malling",7271,7354,7488,7453,7471,7453,7533,7521,7603,7725,7799,7882,7735,
"Tunbridge Wells",6840,6899,7106,7294,7259,7114,6907,6790,6646,6517,6371,6388,6265,
"Cherwell",9189,9389,9619,9841,9804,9640,9471,9365,9269,9158,9332,9489,9570,
"Oxford",8458,8840,8946,9176,9523,9564,9627,9411,9033,8559,8348,8178,7956,
"South Oxfordshire",8038,8023,8128,8233,8289,8197,8256,8195,8161,8010,7938,7991,7974,
