time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic_age,Total_new_st,Total_new_st_pc,Total_new_ehc,Total_new_ehc_pc,Total_new_all,Total_new_all_pc
2021,Calendar year,Local authority,E92000001,England,E12000007,London,302,E09000003,Barnet,Total,z,z,364,100,364,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,303,E09000004,Bexley,Total,z,z,320,100,320,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,304,E09000005,Brent,Total,z,z,335,100,335,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,305,E09000006,Bromley,Total,z,z,476,100,476,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,306,E09000008,Croydon,Total,z,z,316,100,316,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,307,E09000009,Ealing,Total,z,z,347,100,347,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,308,E09000010,Enfield,Total,z,z,639,100,639,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,309,E09000014,Haringey,Total,z,z,260,100,260,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,310,E09000015,Harrow,Total,z,z,240,100,240,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,311,E09000016,Havering,Total,z,z,212,100,212,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,312,E09000017,Hillingdon,Total,z,z,332,100,332,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,313,E09000018,Hounslow,Total,z,z,307,100,307,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,314,E09000021,Kingston upon Thames,Total,z,z,180,100,180,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,315,E09000024,Merton,Total,z,z,334,100,334,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,316,E09000025,Newham,Total,z,z,370,100,370,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,317,E09000026,Redbridge,Total,z,z,288,100,288,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,318,E09000027,Richmond upon Thames,Total,z,z,204,100,204,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,319,E09000029,Sutton,Total,z,z,204,100,204,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,320,E09000031,Waltham Forest,Total,z,z,466,100,466,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Total,z,z,709,100,709,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Total,z,z,305,100,305,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Total,z,z,430,100,430,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Total,z,z,275,100,275,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Total,z,z,2330,100,2330,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Total,z,z,233,100,233,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Total,z,z,248,100,248,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Total,z,z,195,100,195,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Total,z,z,116,100,116,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Total,z,z,152,100,152,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Total,z,z,189,100,189,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Total,z,z,166,100,166,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Total,z,z,255,100,255,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Total,z,z,2910,100,2910,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Total,z,z,303,100,303,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Total,z,z,165,100,165,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Total,z,z,694,100,694,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Total,z,z,1415,100,1415,100
2021,Calendar year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Total,z,z,678,100,678,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Total,z,z,2,100,2,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Total,z,z,269,100,269,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Total,z,z,579,100,579,100
