time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,MApprenEHC,MTrainEHC,MSuppIntEHC,WorkbasedEHC,Mres38week05EHC,Mres38week510EHC,Mres38week1115EHC,Mres38week1619EHC,Mres38week2025EHC,TotMres38weekEHC,Mres52week05EHC,Mres52week510EHC,Mres52week1115EHC,Mres52week1619EHC,Mres52week2025EHC,TotMres52weekEHC,Mres38week05,Mres38week510,Mres38week1115,Mres38week1619,TotMres38week,Mres52week05,Mres52week510,Mres52week1115,Mres52week1619,TotMres52week,DMO,DCO,DMODCOFunction
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,24,2,2,28,0,7,27,12,2,48,0,0,6,0,1,7,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,3,0,4,7,0,1,13,9,1,24,0,2,21,6,1,30,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,2,3,1,6,0,0,4,1,1,6,0,1,4,1,0,6,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,31,9,67,107,0,2,3,9,8,22,0,1,11,11,2,25,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,24,16,10,50,0,0,7,6,7,20,0,3,8,4,0,15,z,z,z,z,z,z,z,z,z,z,Y,N,N
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,22,10,63,95,0,43,54,23,0,120,0,1,15,10,0,26,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,2,0,40,42,0,1,8,3,1,13,0,0,18,16,0,34,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,3,5,41,49,0,13,37,28,25,103,0,3,19,13,3,38,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,7,27,1,35,0,0,2,4,0,6,0,4,15,10,0,29,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,117,11,16,144,0,5,47,51,14,117,0,2,14,21,1,38,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,18,1,55,74,0,0,7,12,15,34,0,0,9,11,3,23,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,6,0,8,14,0,0,3,2,1,6,0,0,0,0,0,0,z,z,z,z,z,z,z,z,z,z,Y,R,N
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,11,0,5,16,0,0,10,14,5,29,0,1,5,11,2,19,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,28,1,28,57,0,31,39,7,0,77,0,0,11,10,0,21,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,0,0,39,39,0,1,27,26,11,65,0,3,3,6,1,13,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,1,49,0,50,0,0,2,0,0,2,0,0,3,2,0,5,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,1,3,36,40,0,0,11,13,17,41,0,1,6,9,3,19,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,17,1,30,48,0,1,10,14,10,35,0,3,14,3,1,21,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,28,0,55,83,0,0,1,1,0,2,0,0,4,5,2,11,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,4,0,28,32,0,1,8,10,7,26,0,0,1,3,4,8,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,52,3,42,97,0,2,24,33,21,80,0,1,11,10,4,26,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,27,3,26,56,0,0,1,5,3,9,0,1,4,3,2,10,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,29,0,15,44,0,6,37,25,7,75,0,0,7,10,1,18,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,4,4,7,15,0,0,3,6,11,20,0,0,8,15,2,25,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,5,0,25,30,0,0,4,1,0,5,0,0,3,9,1,13,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,3,0,2,5,0,0,2,2,0,4,0,2,2,5,0,9,z,z,z,z,z,z,z,z,z,z,Y,N,N
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,10,10,26,46,0,1,5,5,0,11,0,2,4,3,0,9,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,2,1,1,4,0,4,6,15,4,29,0,0,1,3,2,6,z,z,z,z,z,z,z,z,z,z,N,Y,Y
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,2,1,1,4,0,0,3,1,0,4,0,0,1,5,0,6,z,z,z,z,z,z,z,z,z,z,N,Y,Y
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,7,11,1,19,0,0,0,4,3,7,0,0,6,4,1,11,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,1,0,0,1,0,1,3,1,3,8,0,0,2,2,1,5,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,1,3,16,20,0,0,1,2,2,5,0,1,2,2,2,7,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,7,0,8,15,0,0,4,6,7,17,0,0,5,2,0,7,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,6,2,7,15,0,0,2,3,7,12,0,1,3,2,2,8,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,1,1,0,2,0,0,1,2,2,5,0,0,1,3,0,4,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,12,9,7,28,0,1,7,3,0,11,0,0,5,5,0,10,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,5,0,15,20,0,0,3,3,0,6,0,0,5,4,0,9,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,2,0,22,24,0,0,0,6,0,6,0,0,7,0,0,7,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,2,0,16,18,0,0,5,6,1,12,0,0,2,1,0,3,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,201,E09000001,City of London,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,301,E09000002,Barking and Dagenham,9,0,16,25,0,0,3,5,1,9,0,1,1,1,1,4,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,302,E09000003,Barnet,1,10,24,35,0,2,4,11,7,24,0,2,1,2,1,6,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,303,E09000004,Bexley,13,3,12,28,0,0,5,7,3,15,0,0,2,2,1,5,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,304,E09000005,Brent,0,2,29,31,0,1,0,3,1,5,0,0,0,4,0,4,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,305,E09000006,Bromley,1,3,23,27,0,0,19,8,13,40,0,0,4,7,8,19,z,z,z,z,z,z,z,z,z,z,N,Y,Y
2022,Calendar year,Local authority,E92000001,England,E12000007,London,202,E09000007,Camden,4,0,18,22,0,0,2,2,1,5,0,0,2,1,1,4,z,z,z,z,z,z,z,z,z,z,N,Y,N
