time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic_age,Total_st,Total_st_pc,Total_ehc,Total_ehc_pc,Total_all,Total_all_pc
2022,Calendar year,Local authority,E92000001,England,E12000007,London,312,E09000017,Hillingdon,Total,z,z,3016,100,3016,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,313,E09000018,Hounslow,Total,z,z,2779,100,2779,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,314,E09000021,Kingston upon Thames,Total,z,z,1550,100,1550,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,315,E09000024,Merton,Total,z,z,2467,100,2467,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,316,E09000025,Newham,Total,z,z,1867,100,1867,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,317,E09000026,Redbridge,Total,z,z,2587,100,2587,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,318,E09000027,Richmond upon Thames,Total,z,z,1661,100,1661,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,319,E09000029,Sutton,Total,z,z,1995,100,1995,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,320,E09000031,Waltham Forest,Total,z,z,2584,100,2584,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Total,z,z,5415,100,5415,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Total,z,z,2439,100,2439,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Total,z,z,3914,100,3914,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Total,z,z,2056,100,2056,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Total,z,z,12750,100,12750,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Total,z,z,1806,100,1806,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Total,z,z,1938,100,1938,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Total,z,z,1131,100,1131,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Total,z,z,1044,100,1044,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Total,z,z,1198,100,1198,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Total,z,z,1553,100,1553,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Total,z,z,1695,100,1695,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Total,z,z,1488,100,1488,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Total,z,z,17733,100,17733,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Total,z,z,2697,100,2697,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Total,z,z,1332,100,1332,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Total,z,z,5025,100,5025,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Total,z,z,11747,100,11747,100
2022,Calendar year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Total,z,z,6346,100,6346,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Total,z,z,16,100,16,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Total,z,z,1708,100,1708,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Total,z,z,3424,100,3424,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Total,z,z,1556,100,1556,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Total,z,z,2460,100,2460,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Total,z,z,3233,100,3233,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Total,z,z,3063,100,3063,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Total,z,z,4287,100,4287,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Total,z,z,2264,100,2264,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Total,z,z,7926,100,7926,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Total,z,z,2536,100,2536,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Total,z,z,1608,100,1608,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Total,z,z,3770,100,3770,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Total,z,z,4854,100,4854,100
2022,Calendar year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Total,z,z,4232,100,4232,100
